fold_id,participant_id,group,trial_id,trial_index,song_id,episode,prediction_example_id,heldout_unit,phase6_split_source,phase6_split_rule,candidate_count
1,P001,group_01,P001__trial_01,1,lead_me,FM-1,real_loto__P001__trial_01,participant_id_x_trial_id,llm-experiments/llm_evaluation_protocol.md,leave-one-trial-out participant-trial; all five candidate rows excluded together,5
2,P001,group_01,P001__trial_02,2,id_like_to_know,FM-1,real_loto__P001__trial_02,participant_id_x_trial_id,llm-experiments/llm_evaluation_protocol.md,leave-one-trial-out participant-trial; all five candidate rows excluded together,5
3,P001,group_01,P001__trial_03,3,id_like_to_know,EDR-2,real_loto__P001__trial_03,participant_id_x_trial_id,llm-experiments/llm_evaluation_protocol.md,leave-one-trial-out participant-trial; all five candidate rows excluded together,5
4,P001,group_01,P001__trial_04,4,lead_me,EDR-2,real_loto__P001__trial_04,participant_id_x_trial_id,llm-experiments/llm_evaluation_protocol.md,leave-one-trial-out participant-trial; all five candidate rows excluded together,5
5,P001,group_01,P001__trial_05,5,lead_me,EDR-1,real_loto__P001__trial_05,participant_id_x_trial_id,llm-experiments/llm_evaluation_protocol.md,leave-one-trial-out participant-trial; all five candidate rows excluded together,5
6,P001,group_01,P001__trial_06,6,id_like_to_know,EDR-1,real_loto__P001__trial_06,participant_id_x_trial_id,llm-experiments/llm_evaluation_protocol.md,leave-one-trial-out participant-trial; all five candidate rows excluded together,5
7,P002,group_01,P002__trial_01,1,id_like_to_know,EDR-2,real_loto__P002__trial_01,participant_id_x_trial_id,llm-experiments/llm_evaluation_protocol.md,leave-one-trial-out participant-trial; all five candidate rows excluded together,5
8,P002,group_01,P002__trial_02,2,lead_me,EDR-2,real_loto__P002__trial_02,participant_id_x_trial_id,llm-experiments/llm_evaluation_protocol.md,leave-one-trial-out participant-trial; all five candidate rows excluded together,5
9,P002,group_01,P002__trial_03,3,id_like_to_know,EDR-1,real_loto__P002__trial_03,participant_id_x_trial_id,llm-experiments/llm_evaluation_protocol.md,leave-one-trial-out participant-trial; all five candidate rows excluded together,5
10,P002,group_01,P002__trial_04,4,lead_me,EDR-1,real_loto__P002__trial_04,participant_id_x_trial_id,llm-experiments/llm_evaluation_protocol.md,leave-one-trial-out participant-trial; all five candidate rows excluded together,5
11,P002,group_01,P002__trial_05,5,lead_me,FM-1,real_loto__P002__trial_05,participant_id_x_trial_id,llm-experiments/llm_evaluation_protocol.md,leave-one-trial-out participant-trial; all five candidate rows excluded together,5
12,P002,group_01,P002__trial_06,6,id_like_to_know,FM-1,real_loto__P002__trial_06,participant_id_x_trial_id,llm-experiments/llm_evaluation_protocol.md,leave-one-trial-out participant-trial; all five candidate rows excluded together,5
13,P003,group_01,P003__trial_01,1,lead_me,EDR-1,real_loto__P003__trial_01,participant_id_x_trial_id,llm-experiments/llm_evaluation_protocol.md,leave-one-trial-out participant-trial; all five candidate rows excluded together,5
14,P003,group_01,P003__trial_02,2,id_like_to_know,EDR-1,real_loto__P003__trial_02,participant_id_x_trial_id,llm-experiments/llm_evaluation_protocol.md,leave-one-trial-out participant-trial; all five candidate rows excluded together,5
15,P003,group_01,P003__trial_03,3,lead_me,EDR-2,real_loto__P003__trial_03,participant_id_x_trial_id,llm-experiments/llm_evaluation_protocol.md,leave-one-trial-out participant-trial; all five candidate rows excluded together,5
16,P003,group_01,P003__trial_04,4,id_like_to_know,EDR-2,real_loto__P003__trial_04,participant_id_x_trial_id,llm-experiments/llm_evaluation_protocol.md,leave-one-trial-out participant-trial; all five candidate rows excluded together,5
17,P003,group_01,P003__trial_05,5,id_like_to_know,FM-1,real_loto__P003__trial_05,participant_id_x_trial_id,llm-experiments/llm_evaluation_protocol.md,leave-one-trial-out participant-trial; all five candidate rows excluded together,5
18,P003,group_01,P003__trial_06,6,lead_me,FM-1,real_loto__P003__trial_06,participant_id_x_trial_id,llm-experiments/llm_evaluation_protocol.md,leave-one-trial-out participant-trial; all five candidate rows excluded together,5
19,P004,group_01,P004__trial_01,1,lead_me,FM-1,real_loto__P004__trial_01,participant_id_x_trial_id,llm-experiments/llm_evaluation_protocol.md,leave-one-trial-out participant-trial; all five candidate rows excluded together,5
20,P004,group_01,P004__trial_02,2,id_like_to_know,FM-1,real_loto__P004__trial_02,participant_id_x_trial_id,llm-experiments/llm_evaluation_protocol.md,leave-one-trial-out participant-trial; all five candidate rows excluded together,5
21,P004,group_01,P004__trial_03,3,id_like_to_know,EDR-1,real_loto__P004__trial_03,participant_id_x_trial_id,llm-experiments/llm_evaluation_protocol.md,leave-one-trial-out participant-trial; all five candidate rows excluded together,5
22,P004,group_01,P004__trial_04,4,lead_me,EDR-1,real_loto__P004__trial_04,participant_id_x_trial_id,llm-experiments/llm_evaluation_protocol.md,leave-one-trial-out participant-trial; all five candidate rows excluded together,5
23,P004,group_01,P004__trial_05,5,id_like_to_know,EDR-2,real_loto__P004__trial_05,participant_id_x_trial_id,llm-experiments/llm_evaluation_protocol.md,leave-one-trial-out participant-trial; all five candidate rows excluded together,5
24,P004,group_01,P004__trial_06,6,lead_me,EDR-2,real_loto__P004__trial_06,participant_id_x_trial_id,llm-experiments/llm_evaluation_protocol.md,leave-one-trial-out participant-trial; all five candidate rows excluded together,5
25,P005,group_02,P005__trial_01,1,in_the_meantime,FM-1,real_loto__P005__trial_01,participant_id_x_trial_id,llm-experiments/llm_evaluation_protocol.md,leave-one-trial-out participant-trial; all five candidate rows excluded together,5
26,P005,group_02,P005__trial_02,2,pouring_room,FM-1,real_loto__P005__trial_02,participant_id_x_trial_id,llm-experiments/llm_evaluation_protocol.md,leave-one-trial-out participant-trial; all five candidate rows excluded together,5
27,P005,group_02,P005__trial_03,3,pouring_room,EDR-2,real_loto__P005__trial_03,participant_id_x_trial_id,llm-experiments/llm_evaluation_protocol.md,leave-one-trial-out participant-trial; all five candidate rows excluded together,5
28,P005,group_02,P005__trial_04,4,in_the_meantime,EDR-2,real_loto__P005__trial_04,participant_id_x_trial_id,llm-experiments/llm_evaluation_protocol.md,leave-one-trial-out participant-trial; all five candidate rows excluded together,5
29,P005,group_02,P005__trial_05,5,in_the_meantime,EDR-1,real_loto__P005__trial_05,participant_id_x_trial_id,llm-experiments/llm_evaluation_protocol.md,leave-one-trial-out participant-trial; all five candidate rows excluded together,5
30,P005,group_02,P005__trial_06,6,pouring_room,EDR-1,real_loto__P005__trial_06,participant_id_x_trial_id,llm-experiments/llm_evaluation_protocol.md,leave-one-trial-out participant-trial; all five candidate rows excluded together,5
31,P006,group_01,P006__trial_01,1,lead_me,EDR-1,real_loto__P006__trial_01,participant_id_x_trial_id,llm-experiments/llm_evaluation_protocol.md,leave-one-trial-out participant-trial; all five candidate rows excluded together,5
32,P006,group_01,P006__trial_02,2,id_like_to_know,EDR-1,real_loto__P006__trial_02,participant_id_x_trial_id,llm-experiments/llm_evaluation_protocol.md,leave-one-trial-out participant-trial; all five candidate rows excluded together,5
33,P006,group_01,P006__trial_03,3,id_like_to_know,EDR-2,real_loto__P006__trial_03,participant_id_x_trial_id,llm-experiments/llm_evaluation_protocol.md,leave-one-trial-out participant-trial; all five candidate rows excluded together,5
34,P006,group_01,P006__trial_04,4,lead_me,EDR-2,real_loto__P006__trial_04,participant_id_x_trial_id,llm-experiments/llm_evaluation_protocol.md,leave-one-trial-out participant-trial; all five candidate rows excluded together,5
35,P006,group_01,P006__trial_05,5,id_like_to_know,FM-1,real_loto__P006__trial_05,participant_id_x_trial_id,llm-experiments/llm_evaluation_protocol.md,leave-one-trial-out participant-trial; all five candidate rows excluded together,5
36,P006,group_01,P006__trial_06,6,lead_me,FM-1,real_loto__P006__trial_06,participant_id_x_trial_id,llm-experiments/llm_evaluation_protocol.md,leave-one-trial-out participant-trial; all five candidate rows excluded together,5
37,P007,group_02,P007__trial_01,1,in_the_meantime,EDR-1,real_loto__P007__trial_01,participant_id_x_trial_id,llm-experiments/llm_evaluation_protocol.md,leave-one-trial-out participant-trial; all five candidate rows excluded together,5
38,P007,group_02,P007__trial_02,2,pouring_room,EDR-1,real_loto__P007__trial_02,participant_id_x_trial_id,llm-experiments/llm_evaluation_protocol.md,leave-one-trial-out participant-trial; all five candidate rows excluded together,5
39,P007,group_02,P007__trial_03,3,pouring_room,FM-1,real_loto__P007__trial_03,participant_id_x_trial_id,llm-experiments/llm_evaluation_protocol.md,leave-one-trial-out participant-trial; all five candidate rows excluded together,5
40,P007,group_02,P007__trial_04,4,in_the_meantime,FM-1,real_loto__P007__trial_04,participant_id_x_trial_id,llm-experiments/llm_evaluation_protocol.md,leave-one-trial-out participant-trial; all five candidate rows excluded together,5
41,P007,group_02,P007__trial_05,5,in_the_meantime,EDR-2,real_loto__P007__trial_05,participant_id_x_trial_id,llm-experiments/llm_evaluation_protocol.md,leave-one-trial-out participant-trial; all five candidate rows excluded together,5
42,P007,group_02,P007__trial_06,6,pouring_room,EDR-2,real_loto__P007__trial_06,participant_id_x_trial_id,llm-experiments/llm_evaluation_protocol.md,leave-one-trial-out participant-trial; all five candidate rows excluded together,5
43,P008,group_01,P008__trial_01,1,lead_me,FM-1,real_loto__P008__trial_01,participant_id_x_trial_id,llm-experiments/llm_evaluation_protocol.md,leave-one-trial-out participant-trial; all five candidate rows excluded together,5
44,P008,group_01,P008__trial_02,2,id_like_to_know,FM-1,real_loto__P008__trial_02,participant_id_x_trial_id,llm-experiments/llm_evaluation_protocol.md,leave-one-trial-out participant-trial; all five candidate rows excluded together,5
45,P008,group_01,P008__trial_03,3,lead_me,EDR-2,real_loto__P008__trial_03,participant_id_x_trial_id,llm-experiments/llm_evaluation_protocol.md,leave-one-trial-out participant-trial; all five candidate rows excluded together,5
