mix,start_seconds,reason
DU-J,10,poor_global_alignment_confidence;extreme_stereo_width_difference;extreme_stereo_imbalance
DU-K,10,extreme_stereo_width_difference
DU-J,14,poor_global_alignment_confidence;extreme_stereo_width_difference;extreme_stereo_imbalance
DU-K,14,extreme_stereo_width_difference
DU-J,18,poor_global_alignment_confidence;extreme_stereo_width_difference;extreme_stereo_imbalance
DU-K,18,extreme_stereo_width_difference
DU-J,22,poor_global_alignment_confidence;extreme_stereo_width_difference;extreme_stereo_imbalance
DU-K,22,extreme_stereo_width_difference
DU-J,26,poor_global_alignment_confidence;extreme_stereo_width_difference;extreme_stereo_imbalance
DU-K,26,extreme_stereo_width_difference
DU-J,30,poor_global_alignment_confidence;extreme_stereo_width_difference;extreme_stereo_imbalance
DU-J,34,poor_global_alignment_confidence;extreme_stereo_imbalance
DU-J,38,poor_global_alignment_confidence;extreme_stereo_imbalance
DU-J,42,poor_global_alignment_confidence;extreme_stereo_imbalance
DU-J,46,poor_global_alignment_confidence;extreme_stereo_imbalance
DU-J,50,poor_global_alignment_confidence;extreme_stereo_imbalance
DU-J,54,poor_global_alignment_confidence;extreme_stereo_imbalance
DU-J,58,poor_global_alignment_confidence;extreme_stereo_imbalance
DU-J,62,poor_global_alignment_confidence;extreme_stereo_width_difference;extreme_stereo_imbalance
