comparison_id,comparison_protocol_version,metric_protocol_version,synthetic_comparison_notice,comparison_type,metric,model_a,condition_a,model_b,condition_b,baseline_model,effect_estimate,effect_direction_definition,ci_lower,ci_upper,bootstrap_replicates,bootstrap_mode,bootstrap_master_seed,bootstrap_derived_seed,ci_method,ci_level,cluster_unit,primary_estimand,participant_count,aligned_target_count,valid_pair_count,coverage_a,coverage_b,comparison_status,status_reason,principal_baseline_comparator_status,p_value
llm_vs_baseline__strict_top1_accuracy__22e5cbe75032,phase6f_comparison_protocol_v1,phase6f_metric_protocol_v1,Synthetic/mock comparison values validate statistical plumbing only and are not evidence about LLM or baseline performance.,llm_vs_baseline,strict_top1_accuracy,centaur,non_history,mixed_effects_baseline,,categorical_design,-1,LLM - baseline,,,0,test,20260814,1109164480,percentile,0.95,participant_id,pooled eligible held-out participant-trial performance with participant-cluster bootstrap uncertainty,1,1,1,1,1,insufficient_aligned_targets,requires at least 2 aligned targets,not_singly_designated_both_primary_baselines_predefined_confirmation_required,
llm_vs_baseline__mae__db7b21e77483,phase6f_comparison_protocol_v1,phase6f_metric_protocol_v1,Synthetic/mock comparison values validate statistical plumbing only and are not evidence about LLM or baseline performance.,llm_vs_baseline,mae,centaur,non_history,mixed_effects_baseline,,categorical_design,18.5446714593,LLM - baseline; negative means lower LLM error,,,0,test,20260814,572378577,percentile,0.95,participant_id,pooled eligible held-out participant-trial performance with participant-cluster bootstrap uncertainty,1,1,1,1,1,insufficient_aligned_targets,requires at least 2 aligned targets,not_singly_designated_both_primary_baselines_predefined_confirmation_required,
llm_vs_baseline__rmse__7bd81a6aeb8e,phase6f_comparison_protocol_v1,phase6f_metric_protocol_v1,Synthetic/mock comparison values validate statistical plumbing only and are not evidence about LLM or baseline performance.,llm_vs_baseline,rmse,centaur,non_history,mixed_effects_baseline,,categorical_design,21.2052773441,LLM - baseline; negative means lower LLM error,,,0,test,20260814,1788433423,percentile,0.95,participant_id,pooled eligible held-out participant-trial performance with participant-cluster bootstrap uncertainty,1,1,1,1,1,insufficient_aligned_targets,requires at least 2 aligned targets,not_singly_designated_both_primary_baselines_predefined_confirmation_required,
llm_vs_baseline__spearman__986db9c2777f,phase6f_comparison_protocol_v1,phase6f_metric_protocol_v1,Synthetic/mock comparison values validate statistical plumbing only and are not evidence about LLM or baseline performance.,llm_vs_baseline,spearman,centaur,non_history,mixed_effects_baseline,,categorical_design,-0.666885928855,LLM - baseline,,,0,test,20260814,3188182131,percentile,0.95,participant_id,pooled eligible held-out participant-trial performance with participant-cluster bootstrap uncertainty,1,1,1,1,1,insufficient_aligned_targets,requires at least 2 aligned targets,not_singly_designated_both_primary_baselines_predefined_confirmation_required,
llm_vs_baseline__strict_top1_accuracy__af56897a60bd,phase6f_comparison_protocol_v1,phase6f_metric_protocol_v1,Synthetic/mock comparison values validate statistical plumbing only and are not evidence about LLM or baseline performance.,llm_vs_baseline,strict_top1_accuracy,centaur,non_history,mixed_effects_baseline,,primary_acoustic,-1,LLM - baseline,,,0,test,20260814,1231907817,percentile,0.95,participant_id,pooled eligible held-out participant-trial performance with participant-cluster bootstrap uncertainty,1,1,1,1,1,insufficient_aligned_targets,requires at least 2 aligned targets,not_singly_designated_both_primary_baselines_predefined_confirmation_required,
llm_vs_baseline__mae__0351d1d28f8a,phase6f_comparison_protocol_v1,phase6f_metric_protocol_v1,Synthetic/mock comparison values validate statistical plumbing only and are not evidence about LLM or baseline performance.,llm_vs_baseline,mae,centaur,non_history,mixed_effects_baseline,,primary_acoustic,18.9483279423,LLM - baseline; negative means lower LLM error,,,0,test,20260814,4139442085,percentile,0.95,participant_id,pooled eligible held-out participant-trial performance with participant-cluster bootstrap uncertainty,1,1,1,1,1,insufficient_aligned_targets,requires at least 2 aligned targets,not_singly_designated_both_primary_baselines_predefined_confirmation_required,
llm_vs_baseline__rmse__b732ba5c9bbb,phase6f_comparison_protocol_v1,phase6f_metric_protocol_v1,Synthetic/mock comparison values validate statistical plumbing only and are not evidence about LLM or baseline performance.,llm_vs_baseline,rmse,centaur,non_history,mixed_effects_baseline,,primary_acoustic,21.7883187473,LLM - baseline; negative means lower LLM error,,,0,test,20260814,2056099555,percentile,0.95,participant_id,pooled eligible held-out participant-trial performance with participant-cluster bootstrap uncertainty,1,1,1,1,1,insufficient_aligned_targets,requires at least 2 aligned targets,not_singly_designated_both_primary_baselines_predefined_confirmation_required,
llm_vs_baseline__spearman__c248d3118ddc,phase6f_comparison_protocol_v1,phase6f_metric_protocol_v1,Synthetic/mock comparison values validate statistical plumbing only and are not evidence about LLM or baseline performance.,llm_vs_baseline,spearman,centaur,non_history,mixed_effects_baseline,,primary_acoustic,-0.256494588021,LLM - baseline,,,0,test,20260814,2277210305,percentile,0.95,participant_id,pooled eligible held-out participant-trial performance with participant-cluster bootstrap uncertainty,1,1,1,1,1,insufficient_aligned_targets,requires at least 2 aligned targets,not_singly_designated_both_primary_baselines_predefined_confirmation_required,
llm_vs_baseline__strict_top1_accuracy__72350a3f2acf,phase6f_comparison_protocol_v1,phase6f_metric_protocol_v1,Synthetic/mock comparison values validate statistical plumbing only and are not evidence about LLM or baseline performance.,llm_vs_baseline,strict_top1_accuracy,centaur,personalised_history,mixed_effects_baseline,,categorical_design,-1,LLM - baseline,,,0,test,20260814,2814531137,percentile,0.95,participant_id,pooled eligible held-out participant-trial performance with participant-cluster bootstrap uncertainty,1,1,1,1,1,insufficient_aligned_targets,requires at least 2 aligned targets,not_singly_designated_both_primary_baselines_predefined_confirmation_required,
llm_vs_baseline__mae__185764e0f270,phase6f_comparison_protocol_v1,phase6f_metric_protocol_v1,Synthetic/mock comparison values validate statistical plumbing only and are not evidence about LLM or baseline performance.,llm_vs_baseline,mae,centaur,personalised_history,mixed_effects_baseline,,categorical_design,18.5446714593,LLM - baseline; negative means lower LLM error,,,0,test,20260814,162181748,percentile,0.95,participant_id,pooled eligible held-out participant-trial performance with participant-cluster bootstrap uncertainty,1,1,1,1,1,insufficient_aligned_targets,requires at least 2 aligned targets,not_singly_designated_both_primary_baselines_predefined_confirmation_required,
llm_vs_baseline__rmse__a14d5910e9db,phase6f_comparison_protocol_v1,phase6f_metric_protocol_v1,Synthetic/mock comparison values validate statistical plumbing only and are not evidence about LLM or baseline performance.,llm_vs_baseline,rmse,centaur,personalised_history,mixed_effects_baseline,,categorical_design,21.2052773441,LLM - baseline; negative means lower LLM error,,,0,test,20260814,696818745,percentile,0.95,participant_id,pooled eligible held-out participant-trial performance with participant-cluster bootstrap uncertainty,1,1,1,1,1,insufficient_aligned_targets,requires at least 2 aligned targets,not_singly_designated_both_primary_baselines_predefined_confirmation_required,
llm_vs_baseline__spearman__fbe3863a8b8e,phase6f_comparison_protocol_v1,phase6f_metric_protocol_v1,Synthetic/mock comparison values validate statistical plumbing only and are not evidence about LLM or baseline performance.,llm_vs_baseline,spearman,centaur,personalised_history,mixed_effects_baseline,,categorical_design,-0.666885928855,LLM - baseline,,,0,test,20260814,120180411,percentile,0.95,participant_id,pooled eligible held-out participant-trial performance with participant-cluster bootstrap uncertainty,1,1,1,1,1,insufficient_aligned_targets,requires at least 2 aligned targets,not_singly_designated_both_primary_baselines_predefined_confirmation_required,
llm_vs_baseline__strict_top1_accuracy__edd4abbad908,phase6f_comparison_protocol_v1,phase6f_metric_protocol_v1,Synthetic/mock comparison values validate statistical plumbing only and are not evidence about LLM or baseline performance.,llm_vs_baseline,strict_top1_accuracy,centaur,personalised_history,mixed_effects_baseline,,primary_acoustic,-1,LLM - baseline,,,0,test,20260814,1228089598,percentile,0.95,participant_id,pooled eligible held-out participant-trial performance with participant-cluster bootstrap uncertainty,1,1,1,1,1,insufficient_aligned_targets,requires at least 2 aligned targets,not_singly_designated_both_primary_baselines_predefined_confirmation_required,
llm_vs_baseline__mae__6f3d360f7476,phase6f_comparison_protocol_v1,phase6f_metric_protocol_v1,Synthetic/mock comparison values validate statistical plumbing only and are not evidence about LLM or baseline performance.,llm_vs_baseline,mae,centaur,personalised_history,mixed_effects_baseline,,primary_acoustic,18.9483279423,LLM - baseline; negative means lower LLM error,,,0,test,20260814,926290565,percentile,0.95,participant_id,pooled eligible held-out participant-trial performance with participant-cluster bootstrap uncertainty,1,1,1,1,1,insufficient_aligned_targets,requires at least 2 aligned targets,not_singly_designated_both_primary_baselines_predefined_confirmation_required,
llm_vs_baseline__rmse__4367545c8282,phase6f_comparison_protocol_v1,phase6f_metric_protocol_v1,Synthetic/mock comparison values validate statistical plumbing only and are not evidence about LLM or baseline performance.,llm_vs_baseline,rmse,centaur,personalised_history,mixed_effects_baseline,,primary_acoustic,21.7883187473,LLM - baseline; negative means lower LLM error,,,0,test,20260814,2103840506,percentile,0.95,participant_id,pooled eligible held-out participant-trial performance with participant-cluster bootstrap uncertainty,1,1,1,1,1,insufficient_aligned_targets,requires at least 2 aligned targets,not_singly_designated_both_primary_baselines_predefined_confirmation_required,
llm_vs_baseline__spearman__f9408750a154,phase6f_comparison_protocol_v1,phase6f_metric_protocol_v1,Synthetic/mock comparison values validate statistical plumbing only and are not evidence about LLM or baseline performance.,llm_vs_baseline,spearman,centaur,personalised_history,mixed_effects_baseline,,primary_acoustic,-0.256494588021,LLM - baseline,,,0,test,20260814,494725419,percentile,0.95,participant_id,pooled eligible held-out participant-trial performance with participant-cluster bootstrap uncertainty,1,1,1,1,1,insufficient_aligned_targets,requires at least 2 aligned targets,not_singly_designated_both_primary_baselines_predefined_confirmation_required,
llm_vs_baseline__strict_top1_accuracy__9ddced5e7706,phase6f_comparison_protocol_v1,phase6f_metric_protocol_v1,Synthetic/mock comparison values validate statistical plumbing only and are not evidence about LLM or baseline performance.,llm_vs_baseline,strict_top1_accuracy,claude_sonnet,non_history,mixed_effects_baseline,,categorical_design,-1,LLM - baseline,,,0,test,20260814,1950607340,percentile,0.95,participant_id,pooled eligible held-out participant-trial performance with participant-cluster bootstrap uncertainty,1,1,1,1,1,insufficient_aligned_targets,requires at least 2 aligned targets,not_singly_designated_both_primary_baselines_predefined_confirmation_required,
llm_vs_baseline__mae__07cb2764a842,phase6f_comparison_protocol_v1,phase6f_metric_protocol_v1,Synthetic/mock comparison values validate statistical plumbing only and are not evidence about LLM or baseline performance.,llm_vs_baseline,mae,claude_sonnet,non_history,mixed_effects_baseline,,categorical_design,18.5446714593,LLM - baseline; negative means lower LLM error,,,0,test,20260814,1399153398,percentile,0.95,participant_id,pooled eligible held-out participant-trial performance with participant-cluster bootstrap uncertainty,1,1,1,1,1,insufficient_aligned_targets,requires at least 2 aligned targets,not_singly_designated_both_primary_baselines_predefined_confirmation_required,
llm_vs_baseline__rmse__6533bd51c4f3,phase6f_comparison_protocol_v1,phase6f_metric_protocol_v1,Synthetic/mock comparison values validate statistical plumbing only and are not evidence about LLM or baseline performance.,llm_vs_baseline,rmse,claude_sonnet,non_history,mixed_effects_baseline,,categorical_design,21.2052773441,LLM - baseline; negative means lower LLM error,,,0,test,20260814,2546912155,percentile,0.95,participant_id,pooled eligible held-out participant-trial performance with participant-cluster bootstrap uncertainty,1,1,1,1,1,insufficient_aligned_targets,requires at least 2 aligned targets,not_singly_designated_both_primary_baselines_predefined_confirmation_required,
llm_vs_baseline__spearman__c470cd15ff9b,phase6f_comparison_protocol_v1,phase6f_metric_protocol_v1,Synthetic/mock comparison values validate statistical plumbing only and are not evidence about LLM or baseline performance.,llm_vs_baseline,spearman,claude_sonnet,non_history,mixed_effects_baseline,,categorical_design,-0.666885928855,LLM - baseline,,,0,test,20260814,414609434,percentile,0.95,participant_id,pooled eligible held-out participant-trial performance with participant-cluster bootstrap uncertainty,1,1,1,1,1,insufficient_aligned_targets,requires at least 2 aligned targets,not_singly_designated_both_primary_baselines_predefined_confirmation_required,
llm_vs_baseline__strict_top1_accuracy__f52893bc540b,phase6f_comparison_protocol_v1,phase6f_metric_protocol_v1,Synthetic/mock comparison values validate statistical plumbing only and are not evidence about LLM or baseline performance.,llm_vs_baseline,strict_top1_accuracy,claude_sonnet,non_history,mixed_effects_baseline,,primary_acoustic,-1,LLM - baseline,,,0,test,20260814,1932597278,percentile,0.95,participant_id,pooled eligible held-out participant-trial performance with participant-cluster bootstrap uncertainty,1,1,1,1,1,insufficient_aligned_targets,requires at least 2 aligned targets,not_singly_designated_both_primary_baselines_predefined_confirmation_required,
llm_vs_baseline__mae__de6a3f06d7d3,phase6f_comparison_protocol_v1,phase6f_metric_protocol_v1,Synthetic/mock comparison values validate statistical plumbing only and are not evidence about LLM or baseline performance.,llm_vs_baseline,mae,claude_sonnet,non_history,mixed_effects_baseline,,primary_acoustic,18.9483279423,LLM - baseline; negative means lower LLM error,,,0,test,20260814,1243310493,percentile,0.95,participant_id,pooled eligible held-out participant-trial performance with participant-cluster bootstrap uncertainty,1,1,1,1,1,insufficient_aligned_targets,requires at least 2 aligned targets,not_singly_designated_both_primary_baselines_predefined_confirmation_required,
llm_vs_baseline__rmse__7c0cb6bddcbc,phase6f_comparison_protocol_v1,phase6f_metric_protocol_v1,Synthetic/mock comparison values validate statistical plumbing only and are not evidence about LLM or baseline performance.,llm_vs_baseline,rmse,claude_sonnet,non_history,mixed_effects_baseline,,primary_acoustic,21.7883187473,LLM - baseline; negative means lower LLM error,,,0,test,20260814,4064916978,percentile,0.95,participant_id,pooled eligible held-out participant-trial performance with participant-cluster bootstrap uncertainty,1,1,1,1,1,insufficient_aligned_targets,requires at least 2 aligned targets,not_singly_designated_both_primary_baselines_predefined_confirmation_required,
llm_vs_baseline__spearman__52019b57d161,phase6f_comparison_protocol_v1,phase6f_metric_protocol_v1,Synthetic/mock comparison values validate statistical plumbing only and are not evidence about LLM or baseline performance.,llm_vs_baseline,spearman,claude_sonnet,non_history,mixed_effects_baseline,,primary_acoustic,-0.256494588021,LLM - baseline,,,0,test,20260814,1895135047,percentile,0.95,participant_id,pooled eligible held-out participant-trial performance with participant-cluster bootstrap uncertainty,1,1,1,1,1,insufficient_aligned_targets,requires at least 2 aligned targets,not_singly_designated_both_primary_baselines_predefined_confirmation_required,
llm_vs_baseline__strict_top1_accuracy__e18b9234ac5b,phase6f_comparison_protocol_v1,phase6f_metric_protocol_v1,Synthetic/mock comparison values validate statistical plumbing only and are not evidence about LLM or baseline performance.,llm_vs_baseline,strict_top1_accuracy,claude_sonnet,personalised_history,mixed_effects_baseline,,categorical_design,-1,LLM - baseline,,,0,test,20260814,3631210832,percentile,0.95,participant_id,pooled eligible held-out participant-trial performance with participant-cluster bootstrap uncertainty,1,1,1,1,1,insufficient_aligned_targets,requires at least 2 aligned targets,not_singly_designated_both_primary_baselines_predefined_confirmation_required,
llm_vs_baseline__mae__7329e3f4e055,phase6f_comparison_protocol_v1,phase6f_metric_protocol_v1,Synthetic/mock comparison values validate statistical plumbing only and are not evidence about LLM or baseline performance.,llm_vs_baseline,mae,claude_sonnet,personalised_history,mixed_effects_baseline,,categorical_design,18.5446714593,LLM - baseline; negative means lower LLM error,,,0,test,20260814,459176963,percentile,0.95,participant_id,pooled eligible held-out participant-trial performance with participant-cluster bootstrap uncertainty,1,1,1,1,1,insufficient_aligned_targets,requires at least 2 aligned targets,not_singly_designated_both_primary_baselines_predefined_confirmation_required,
llm_vs_baseline__rmse__34cac73bb788,phase6f_comparison_protocol_v1,phase6f_metric_protocol_v1,Synthetic/mock comparison values validate statistical plumbing only and are not evidence about LLM or baseline performance.,llm_vs_baseline,rmse,claude_sonnet,personalised_history,mixed_effects_baseline,,categorical_design,21.2052773441,LLM - baseline; negative means lower LLM error,,,0,test,20260814,2429884852,percentile,0.95,participant_id,pooled eligible held-out participant-trial performance with participant-cluster bootstrap uncertainty,1,1,1,1,1,insufficient_aligned_targets,requires at least 2 aligned targets,not_singly_designated_both_primary_baselines_predefined_confirmation_required,
llm_vs_baseline__spearman__7b412c147354,phase6f_comparison_protocol_v1,phase6f_metric_protocol_v1,Synthetic/mock comparison values validate statistical plumbing only and are not evidence about LLM or baseline performance.,llm_vs_baseline,spearman,claude_sonnet,personalised_history,mixed_effects_baseline,,categorical_design,-0.666885928855,LLM - baseline,,,0,test,20260814,588692150,percentile,0.95,participant_id,pooled eligible held-out participant-trial performance with participant-cluster bootstrap uncertainty,1,1,1,1,1,insufficient_aligned_targets,requires at least 2 aligned targets,not_singly_designated_both_primary_baselines_predefined_confirmation_required,
llm_vs_baseline__strict_top1_accuracy__e73f5b98bfa0,phase6f_comparison_protocol_v1,phase6f_metric_protocol_v1,Synthetic/mock comparison values validate statistical plumbing only and are not evidence about LLM or baseline performance.,llm_vs_baseline,strict_top1_accuracy,claude_sonnet,personalised_history,mixed_effects_baseline,,primary_acoustic,-1,LLM - baseline,,,0,test,20260814,2885654557,percentile,0.95,participant_id,pooled eligible held-out participant-trial performance with participant-cluster bootstrap uncertainty,1,1,1,1,1,insufficient_aligned_targets,requires at least 2 aligned targets,not_singly_designated_both_primary_baselines_predefined_confirmation_required,
llm_vs_baseline__mae__d185c139f8e4,phase6f_comparison_protocol_v1,phase6f_metric_protocol_v1,Synthetic/mock comparison values validate statistical plumbing only and are not evidence about LLM or baseline performance.,llm_vs_baseline,mae,claude_sonnet,personalised_history,mixed_effects_baseline,,primary_acoustic,18.9483279423,LLM - baseline; negative means lower LLM error,,,0,test,20260814,1910200649,percentile,0.95,participant_id,pooled eligible held-out participant-trial performance with participant-cluster bootstrap uncertainty,1,1,1,1,1,insufficient_aligned_targets,requires at least 2 aligned targets,not_singly_designated_both_primary_baselines_predefined_confirmation_required,
llm_vs_baseline__rmse__92b75a611029,phase6f_comparison_protocol_v1,phase6f_metric_protocol_v1,Synthetic/mock comparison values validate statistical plumbing only and are not evidence about LLM or baseline performance.,llm_vs_baseline,rmse,claude_sonnet,personalised_history,mixed_effects_baseline,,primary_acoustic,21.7883187473,LLM - baseline; negative means lower LLM error,,,0,test,20260814,3840619061,percentile,0.95,participant_id,pooled eligible held-out participant-trial performance with participant-cluster bootstrap uncertainty,1,1,1,1,1,insufficient_aligned_targets,requires at least 2 aligned targets,not_singly_designated_both_primary_baselines_predefined_confirmation_required,
llm_vs_baseline__spearman__a6f7f8076996,phase6f_comparison_protocol_v1,phase6f_metric_protocol_v1,Synthetic/mock comparison values validate statistical plumbing only and are not evidence about LLM or baseline performance.,llm_vs_baseline,spearman,claude_sonnet,personalised_history,mixed_effects_baseline,,primary_acoustic,-0.256494588021,LLM - baseline,,,0,test,20260814,841806497,percentile,0.95,participant_id,pooled eligible held-out participant-trial performance with participant-cluster bootstrap uncertainty,1,1,1,1,1,insufficient_aligned_targets,requires at least 2 aligned targets,not_singly_designated_both_primary_baselines_predefined_confirmation_required,
llm_vs_baseline__strict_top1_accuracy__1976b917de42,phase6f_comparison_protocol_v1,phase6f_metric_protocol_v1,Synthetic/mock comparison values validate statistical plumbing only and are not evidence about LLM or baseline performance.,llm_vs_baseline,strict_top1_accuracy,gpt,non_history,mixed_effects_baseline,,categorical_design,-1,LLM - baseline,,,0,test,20260814,2133133873,percentile,0.95,participant_id,pooled eligible held-out participant-trial performance with participant-cluster bootstrap uncertainty,1,1,1,1,1,insufficient_aligned_targets,requires at least 2 aligned targets,not_singly_designated_both_primary_baselines_predefined_confirmation_required,
