column_name,level,data_type,source,required,allowed_values_or_range,description
participant_id,participant,string,raw Netlify study_id,yes,non-empty stable study identifier,Canonical anonymous participant identifier copied from study_id.
study_id,participant,string,raw Netlify study_id,yes,non-empty stable study identifier,Original exported study identifier retained for traceability.
study_version,participant,string,raw Netlify study_version,no,,Frontend study version.
schema_version,participant,string,raw Netlify schema_version,no,,Netlify export schema version.
stimulus_configuration_version,participant,string,raw Netlify stimulus_configuration_version,no,,Stimulus configuration version used by the submitted session.
source_version,participant,string,raw Netlify source_version,no,,Frontend submission source version.
submission_status,participant,string,raw Netlify submission_status,no,,Submission status recorded by the frontend.
group_id,participant,string,raw Netlify group_id/study_group,yes for complete participant,group_01 or group_02 in active study,Assigned participant song group.
study_group,participant,string,raw Netlify study_group/group_id,no,group_01 or group_02 in active study,Exported group alias retained for traceability.
started_at,participant,string,raw Netlify started_at,no,ISO timestamp if present,Study start timestamp.
completed_at,participant,string,raw Netlify completed_at,no,ISO timestamp if present,Study completion timestamp.
duration_seconds,participant,number/string,raw Netlify duration_seconds,no,non-negative if present,Study duration in seconds.
age_range,participant,string,demographics_json.age_range,no,questionnaire option values,Permitted Phase 6A background metadata.
gender,participant,string,demographics_json.gender,no,questionnaire option values,Permitted Phase 6A background metadata.
cultural_influence_country,participant,string,demographics_json.cultural_influence_country,no,text response,Permitted Phase 6A background metadata.
music_listening_habits,participant,string,demographics_json.music_listening_habits,no,questionnaire option values,Permitted Phase 6A background metadata.
music_production_or_audio_engineering_experience,participant,string,demographics_json.music_production_or_audio_engineering_experience,no,questionnaire option values,Permitted Phase 6A background metadata.
hearing_difficulty,participant,string,demographics_json.hearing_difficulty,no,questionnaire option values,Permitted Phase 6A background metadata.
participant_metadata_missing_fields,participant,string,derived from permitted metadata fields,no,pipe-separated field names,Missingness audit for participant metadata; missing metadata does not invalidate ratings.
trial_id,trial,string,derived deterministically from participant_id and trial_index,yes,participant_id__trial_NN,Stable participant-trial identifier for later held-out evaluation.
trial_order,trial,integer,responses_json.trial_index,yes for complete trial,1-6 in active complete study,Original study trial order.
trial_index,trial,integer,responses_json.trial_index,yes for complete trial,1-6 in active complete study,Raw trial index retained as exported.
episode_id,trial,string,responses_json.episode_id/scenario_id,yes,EDR-1 EDR-2 FM-1 in active study,Listening episode/context identifier.
scenario_id,trial,string,responses_json.scenario_id/episode_id,no,EDR-1 EDR-2 FM-1 in active study,Scenario identifier alias.
episode_position,trial,integer,responses_json.episode_position,no,1-3 in active complete study,Position of episode in participant order.
context_title,trial,string,stimuli.json scenarios,no,,Scenario title from active stimulus config.
context_label,trial,string,stimuli.json scenarios,no,EDR-1 EDR-2 FM-1,Canonical context label.
context_text,trial,string,stimuli.json scenarios,no,,Scenario/vignette text.
context_dominant_function,trial,string,stimuli.json scenarios,no,Enjoyment Relaxation-Distraction Focus-Motivation,Dominant function label from active config.
song_id,trial,string,responses_json.song_id,yes,active sourceSongId values,Song identifier.
