source,method_key,model_key,model_label,condition,prediction_example_id,participant_id,group,episode,song_id,predicted_preferred_mix,actual_top_tie_set,top1_correct,spearman
llm,centaur__non_history,centaur,Centaur,non_history,P001__heldout__P001__trial_01,P001,group_01,FM-1,lead_me,C,E,0,-0.3
llm,centaur__non_history,centaur,Centaur,non_history,P001__heldout__P001__trial_02,P001,group_01,FM-1,id_like_to_know,C,E,0,-0.6
llm,centaur__non_history,centaur,Centaur,non_history,P001__heldout__P001__trial_03,P001,group_01,EDR-2,id_like_to_know,A,B,0,-0.9
llm,centaur__non_history,centaur,Centaur,non_history,P001__heldout__P001__trial_04,P001,group_01,EDR-2,lead_me,A,E,0,-0.1
llm,centaur__non_history,centaur,Centaur,non_history,P001__heldout__P001__trial_05,P001,group_01,EDR-1,lead_me,A,C,0,0.3
llm,centaur__non_history,centaur,Centaur,non_history,P001__heldout__P001__trial_06,P001,group_01,EDR-1,id_like_to_know,A,D,0,-0.9
llm,centaur__non_history,centaur,Centaur,non_history,P002__heldout__P002__trial_01,P002,group_01,EDR-2,id_like_to_know,C,B,0,-0.2
llm,centaur__non_history,centaur,Centaur,non_history,P002__heldout__P002__trial_02,P002,group_01,EDR-2,lead_me,C,B,0,-0.1
llm,centaur__non_history,centaur,Centaur,non_history,P002__heldout__P002__trial_03,P002,group_01,EDR-1,id_like_to_know,C,A,0,0.8
llm,centaur__non_history,centaur,Centaur,non_history,P002__heldout__P002__trial_04,P002,group_01,EDR-1,lead_me,C,C,1,0.7
llm,centaur__non_history,centaur,Centaur,non_history,P002__heldout__P002__trial_05,P002,group_01,FM-1,lead_me,A,C,0,0.3
llm,centaur__non_history,centaur,Centaur,non_history,P002__heldout__P002__trial_06,P002,group_01,FM-1,id_like_to_know,C,C,1,0.4
llm,centaur__non_history,centaur,Centaur,non_history,P003__heldout__P003__trial_01,P003,group_01,EDR-1,lead_me,C,E,0,-0.5
llm,centaur__non_history,centaur,Centaur,non_history,P003__heldout__P003__trial_02,P003,group_01,EDR-1,id_like_to_know,A,C,0,0.3
llm,centaur__non_history,centaur,Centaur,non_history,P003__heldout__P003__trial_03,P003,group_01,EDR-2,lead_me,C,D,0,-0.8
llm,centaur__non_history,centaur,Centaur,non_history,P003__heldout__P003__trial_04,P003,group_01,EDR-2,id_like_to_know,C,D,0,0.2
llm,centaur__non_history,centaur,Centaur,non_history,P003__heldout__P003__trial_05,P003,group_01,FM-1,id_like_to_know,C,D,0,-0.5
llm,centaur__non_history,centaur,Centaur,non_history,P003__heldout__P003__trial_06,P003,group_01,FM-1,lead_me,C,B,0,-0.6
llm,centaur__non_history,centaur,Centaur,non_history,P004__heldout__P004__trial_01,P004,group_01,FM-1,lead_me,C,A,0,0.7
llm,centaur__non_history,centaur,Centaur,non_history,P004__heldout__P004__trial_02,P004,group_01,FM-1,id_like_to_know,A,E,0,0.4472135954999579
llm,centaur__non_history,centaur,Centaur,non_history,P004__heldout__P004__trial_03,P004,group_01,EDR-1,id_like_to_know,A,C,0,0.6
llm,centaur__non_history,centaur,Centaur,non_history,P004__heldout__P004__trial_04,P004,group_01,EDR-1,lead_me,C,D,0,-0.20519567041703082
llm,centaur__non_history,centaur,Centaur,non_history,P004__heldout__P004__trial_05,P004,group_01,EDR-2,id_like_to_know,C,D,0,-0.3
llm,centaur__non_history,centaur,Centaur,non_history,P004__heldout__P004__trial_06,P004,group_01,EDR-2,lead_me,C,E,0,-0.6
llm,centaur__non_history,centaur,Centaur,non_history,P005__heldout__P005__trial_01,P005,group_02,FM-1,in_the_meantime,C,A,0,0.9
llm,centaur__non_history,centaur,Centaur,non_history,P005__heldout__P005__trial_02,P005,group_02,FM-1,pouring_room,A,E,0,0.6
llm,centaur__non_history,centaur,Centaur,non_history,P005__heldout__P005__trial_03,P005,group_02,EDR-2,pouring_room,A,D,0,-0.4
llm,centaur__non_history,centaur,Centaur,non_history,P005__heldout__P005__trial_04,P005,group_02,EDR-2,in_the_meantime,A,E,0,0.5
llm,centaur__non_history,centaur,Centaur,non_history,P005__heldout__P005__trial_05,P005,group_02,EDR-1,in_the_meantime,A,E,0,0.5
llm,centaur__non_history,centaur,Centaur,non_history,P005__heldout__P005__trial_06,P005,group_02,EDR-1,pouring_room,A,E,0,-0.2
llm,centaur__non_history,centaur,Centaur,non_history,P006__heldout__P006__trial_01,P006,group_01,EDR-1,lead_me,C,A,0,0.8
llm,centaur__non_history,centaur,Centaur,non_history,P006__heldout__P006__trial_02,P006,group_01,EDR-1,id_like_to_know,C,C,1,0.9
llm,centaur__non_history,centaur,Centaur,non_history,P006__heldout__P006__trial_03,P006,group_01,EDR-2,id_like_to_know,C,B,0,0.3
llm,centaur__non_history,centaur,Centaur,non_history,P006__heldout__P006__trial_04,P006,group_01,EDR-2,lead_me,C,A,0,-0.1
llm,centaur__non_history,centaur,Centaur,non_history,P006__heldout__P006__trial_05,P006,group_01,FM-1,id_like_to_know,A,C,0,0.4
llm,centaur__non_history,centaur,Centaur,non_history,P006__heldout__P006__trial_06,P006,group_01,FM-1,lead_me,C,B,0,0.0
llm,centaur__non_history,centaur,Centaur,non_history,P007__heldout__P007__trial_01,P007,group_02,EDR-1,in_the_meantime,C,C,1,0.7
llm,centaur__non_history,centaur,Centaur,non_history,P007__heldout__P007__trial_02,P007,group_02,EDR-1,pouring_room,C,A,0,-0.3
llm,centaur__non_history,centaur,Centaur,non_history,P007__heldout__P007__trial_03,P007,group_02,FM-1,pouring_room,A,C,0,0.6
llm,centaur__non_history,centaur,Centaur,non_history,P007__heldout__P007__trial_04,P007,group_02,FM-1,in_the_meantime,C,E,0,-0.6668859288553503
llm,centaur__non_history,centaur,Centaur,non_history,P007__heldout__P007__trial_05,P007,group_02,EDR-2,in_the_meantime,C,C,1,0.3
llm,centaur__non_history,centaur,Centaur,non_history,P007__heldout__P007__trial_06,P007,group_02,EDR-2,pouring_room,A,A,1,0.1
llm,centaur__non_history,centaur,Centaur,non_history,P008__heldout__P008__trial_01,P008,group_01,FM-1,lead_me,A,D,0,-0.5
llm,centaur__non_history,centaur,Centaur,non_history,P008__heldout__P008__trial_02,P008,group_01,FM-1,id_like_to_know,C,A,0,0.1
llm,centaur__non_history,centaur,Centaur,non_history,P008__heldout__P008__trial_03,P008,group_01,EDR-2,lead_me,C,A,0,-0.4
llm,centaur__non_history,centaur,Centaur,non_history,P008__heldout__P008__trial_04,P008,group_01,EDR-2,id_like_to_know,C,D,0,0.0
llm,centaur__non_history,centaur,Centaur,non_history,P008__heldout__P008__trial_05,P008,group_01,EDR-1,id_like_to_know,C,A,0,0.1
llm,centaur__non_history,centaur,Centaur,non_history,P008__heldout__P008__trial_06,P008,group_01,EDR-1,lead_me,C,A,0,0.2
llm,centaur__non_history,centaur,Centaur,non_history,P009__heldout__P009__trial_01,P009,group_02,FM-1,pouring_room,A,A,1,0.3
llm,centaur__non_history,centaur,Centaur,non_history,P009__heldout__P009__trial_02,P009,group_02,FM-1,in_the_meantime,C,D,0,-0.3
llm,centaur__non_history,centaur,Centaur,non_history,P009__heldout__P009__trial_03,P009,group_02,EDR-1,in_the_meantime,C,D,0,-0.3
llm,centaur__non_history,centaur,Centaur,non_history,P009__heldout__P009__trial_04,P009,group_02,EDR-1,pouring_room,C,A,0,0.0
llm,centaur__non_history,centaur,Centaur,non_history,P009__heldout__P009__trial_05,P009,group_02,EDR-2,pouring_room,C,E,0,0.3
llm,centaur__non_history,centaur,Centaur,non_history,P009__heldout__P009__trial_06,P009,group_02,EDR-2,in_the_meantime,C,B,0,-0.6
llm,centaur__non_history,centaur,Centaur,non_history,P010__heldout__P010__trial_01,P010,group_01,FM-1,lead_me,C,D,0,-0.7
llm,centaur__non_history,centaur,Centaur,non_history,P010__heldout__P010__trial_02,P010,group_01,FM-1,id_like_to_know,A,C,0,0.6
llm,centaur__non_history,centaur,Centaur,non_history,P010__heldout__P010__trial_03,P010,group_01,EDR-1,id_like_to_know,C,C,1,0.7
llm,centaur__non_history,centaur,Centaur,non_history,P010__heldout__P010__trial_04,P010,group_01,EDR-1,lead_me,C,D,0,-0.6
llm,centaur__non_history,centaur,Centaur,non_history,P010__heldout__P010__trial_05,P010,group_01,EDR-2,lead_me,C,A|C,1,0.872081599272381
llm,centaur__non_history,centaur,Centaur,non_history,P010__heldout__P010__trial_06,P010,group_01,EDR-2,id_like_to_know,A,A|B|C|D|E,1,0.0
llm,centaur__non_history,centaur,Centaur,non_history,P011__heldout__P011__trial_01,P011,group_02,EDR-2,in_the_meantime,C,B,0,-0.2
llm,centaur__non_history,centaur,Centaur,non_history,P011__heldout__P011__trial_02,P011,group_02,EDR-2,pouring_room,A,C,0,0.5
llm,centaur__non_history,centaur,Centaur,non_history,P011__heldout__P011__trial_03,P011,group_02,FM-1,pouring_room,A,A,1,0.6
llm,centaur__non_history,centaur,Centaur,non_history,P011__heldout__P011__trial_04,P011,group_02,FM-1,in_the_meantime,A,D,0,-0.1
llm,centaur__non_history,centaur,Centaur,non_history,P011__heldout__P011__trial_05,P011,group_02,EDR-1,in_the_meantime,C,E,0,0.1
llm,centaur__non_history,centaur,Centaur,non_history,P011__heldout__P011__trial_06,P011,group_02,EDR-1,pouring_room,C,D,0,-0.6
llm,centaur__non_history,centaur,Centaur,non_history,P012__heldout__P012__trial_01,P012,group_01,EDR-1,lead_me,C,D,0,-0.7
llm,centaur__non_history,centaur,Centaur,non_history,P012__heldout__P012__trial_02,P012,group_01,EDR-1,id_like_to_know,C,D,0,-0.35909242322980395
llm,centaur__non_history,centaur,Centaur,non_history,P012__heldout__P012__trial_03,P012,group_01,EDR-2,lead_me,C,B,0,0.11180339887498948
llm,centaur__non_history,centaur,Centaur,non_history,P012__heldout__P012__trial_04,P012,group_01,EDR-2,id_like_to_know,C,C|E,1,0.26352313834736496
llm,centaur__non_history,centaur,Centaur,non_history,P012__heldout__P012__trial_05,P012,group_01,FM-1,id_like_to_know,A,A|B|C|D|E,1,0.0
llm,centaur__non_history,centaur,Centaur,non_history,P012__heldout__P012__trial_06,P012,group_01,FM-1,lead_me,C,D,0,-0.20519567041703082
llm,centaur__non_history,centaur,Centaur,non_history,P013__heldout__P013__trial_01,P013,group_02,EDR-1,in_the_meantime,C,C,1,0.9
llm,centaur__non_history,centaur,Centaur,non_history,P013__heldout__P013__trial_02,P013,group_02,EDR-1,pouring_room,C,A|B|C|D|E,1,0.0
