song,condition,original_mix_name,source_path,review_path,source_sha256,review_sha256,hash_match
I'd Like To Know,Similar Ratings,PXL-S3,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\08_backup_song_expansion\06_rating_stratification\candidate_review_audio\I'd Like To Know\Similar Ratings\PXL-S3_28sec.wav,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\08_backup_song_expansion\07_alignment_verification\review_audio\I'd Like To Know\Similar Ratings\PXL-S3_28sec.wav,90851081461aba233c967b4221d63041492551ae558e1aca109d556392d4a97a,90851081461aba233c967b4221d63041492551ae558e1aca109d556392d4a97a,true
I'd Like To Know,Similar Ratings,PXL-S5,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\08_backup_song_expansion\06_rating_stratification\candidate_review_audio\I'd Like To Know\Similar Ratings\PXL-S5_28sec.wav,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\08_backup_song_expansion\07_alignment_verification\review_audio\I'd Like To Know\Similar Ratings\PXL-S5_28sec.wav,9983613f47e374e319bdc76922fed3ae2cb69613f5f4713e5423355a6baf3d9a,9983613f47e374e319bdc76922fed3ae2cb69613f5f4713e5423355a6baf3d9a,true
I'd Like To Know,Similar Ratings,PXL-S1,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\08_backup_song_expansion\06_rating_stratification\candidate_review_audio\I'd Like To Know\Similar Ratings\PXL-S1_28sec.wav,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\08_backup_song_expansion\07_alignment_verification\review_audio\I'd Like To Know\Similar Ratings\PXL-S1_28sec.wav,ff5f11e13ed2be2f22b5b7f348fd38f16ebc4580301b84ace675a059bda8730a,ff5f11e13ed2be2f22b5b7f348fd38f16ebc4580301b84ace675a059bda8730a,true
I'd Like To Know,Wide Ratings,PXL-S2,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\08_backup_song_expansion\06_rating_stratification\candidate_review_audio\I'd Like To Know\Wide Ratings\PXL-S2_28sec.wav,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\08_backup_song_expansion\07_alignment_verification\review_audio\I'd Like To Know\Wide Ratings\PXL-S2_28sec.wav,550135e350cd698848864b350c20942065c4a744aca58d28bd5463a20af23f7b,550135e350cd698848864b350c20942065c4a744aca58d28bd5463a20af23f7b,true
I'd Like To Know,Wide Ratings,PXL-S6,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\08_backup_song_expansion\06_rating_stratification\candidate_review_audio\I'd Like To Know\Wide Ratings\PXL-S6_28sec.wav,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\08_backup_song_expansion\07_alignment_verification\review_audio\I'd Like To Know\Wide Ratings\PXL-S6_28sec.wav,5fd3d33c8df88d9de4153175e12e7f24455283d2c261f71f0d197ae9c22d15e4,5fd3d33c8df88d9de4153175e12e7f24455283d2c261f71f0d197ae9c22d15e4,true
I'd Like To Know,Wide Ratings,PXL-S7,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\08_backup_song_expansion\06_rating_stratification\candidate_review_audio\I'd Like To Know\Wide Ratings\PXL-S7_28sec.wav,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\08_backup_song_expansion\07_alignment_verification\review_audio\I'd Like To Know\Wide Ratings\PXL-S7_28sec.wav,4bd87ed0194f89d7c1a45a5fad216040d3350bc9aeec443c70d51f42385eef74,4bd87ed0194f89d7c1a45a5fad216040d3350bc9aeec443c70d51f42385eef74,true
New Skin,Similar Ratings,DU-Q,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\08_backup_song_expansion\06_rating_stratification\candidate_review_audio\New Skin\Similar Ratings\DU-Q_28sec.wav,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\08_backup_song_expansion\07_alignment_verification\review_audio\New Skin\Similar Ratings\DU-Q_28sec.wav,6d6c5143dff6ad612a4c05724fda66cd3ab183973812d8f060f9367022d11f2f,6d6c5143dff6ad612a4c05724fda66cd3ab183973812d8f060f9367022d11f2f,true
New Skin,Similar Ratings,DU-R,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\08_backup_song_expansion\06_rating_stratification\candidate_review_audio\New Skin\Similar Ratings\DU-R_28sec.wav,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\08_backup_song_expansion\07_alignment_verification\review_audio\New Skin\Similar Ratings\DU-R_28sec.wav,caa4d2a46417ac7854836d7e68a5157bb96557fcf7860a284efb497ebfb3ac65,caa4d2a46417ac7854836d7e68a5157bb96557fcf7860a284efb497ebfb3ac65,true
New Skin,Similar Ratings,DU-O,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\08_backup_song_expansion\06_rating_stratification\candidate_review_audio\New Skin\Similar Ratings\DU-O_28sec.wav,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\08_backup_song_expansion\07_alignment_verification\review_audio\New Skin\Similar Ratings\DU-O_28sec.wav,8073bd3a53645079fab94dd8f953384538b0bd3913be6f826bd252b10cbd0672,8073bd3a53645079fab94dd8f953384538b0bd3913be6f826bd252b10cbd0672,true
New Skin,Wide Ratings,DU-U,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\08_backup_song_expansion\06_rating_stratification\candidate_review_audio\New Skin\Wide Ratings\DU-U_28sec.wav,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\08_backup_song_expansion\07_alignment_verification\review_audio\New Skin\Wide Ratings\DU-U_28sec.wav,acbe886de8e5ec5608ed75ea0fdfb7e2a5ffcc279758dfe79418e4f2e49cd4e3,acbe886de8e5ec5608ed75ea0fdfb7e2a5ffcc279758dfe79418e4f2e49cd4e3,true
