evaluation_id,song,original_mix_name,mix_id,participant_id,evaluator_institution_code,mixer_identity_fields,self_rating_identifiable,self_rating_flag,evidence,exclusion_feasible,notes
evaluation_e5b42b8e4ffc,No Prize,McG-I,mix_58fa089225bc,participant_mcg_mcg_suba,McG,mixer_id=McG-I; legacy_mix_code=McG-I; mixer_institution_code=McG,false,,"No explicit participant-to-mixer identity mapping or creator/evaluator flag found in evaluations.csv, mixes.csv, retained feature table, or SCHEMA.md.",false,Institution equality alone was not used as self-rating evidence.
evaluation_d8f4be572579,No Prize,McG-I,mix_58fa089225bc,participant_mcg_mcg_a,McG,mixer_id=McG-I; legacy_mix_code=McG-I; mixer_institution_code=McG,false,,"No explicit participant-to-mixer identity mapping or creator/evaluator flag found in evaluations.csv, mixes.csv, retained feature table, or SCHEMA.md.",false,Institution equality alone was not used as self-rating evidence.
evaluation_6fdf51c17fbb,No Prize,McG-I,mix_58fa089225bc,participant_mcg_mg2,McG,mixer_id=McG-I; legacy_mix_code=McG-I; mixer_institution_code=McG,false,,"No explicit participant-to-mixer identity mapping or creator/evaluator flag found in evaluations.csv, mixes.csv, retained feature table, or SCHEMA.md.",false,Institution equality alone was not used as self-rating evidence.
evaluation_2a1b8d678384,No Prize,McG-I,mix_58fa089225bc,participant_mcg_mcg_d,McG,mixer_id=McG-I; legacy_mix_code=McG-I; mixer_institution_code=McG,false,,"No explicit participant-to-mixer identity mapping or creator/evaluator flag found in evaluations.csv, mixes.csv, retained feature table, or SCHEMA.md.",false,Institution equality alone was not used as self-rating evidence.
evaluation_c2595a09319e,No Prize,McG-I,mix_58fa089225bc,participant_mcg_mcg_c,McG,mixer_id=McG-I; legacy_mix_code=McG-I; mixer_institution_code=McG,false,,"No explicit participant-to-mixer identity mapping or creator/evaluator flag found in evaluations.csv, mixes.csv, retained feature table, or SCHEMA.md.",false,Institution equality alone was not used as self-rating evidence.
evaluation_b49bce404ed0,No Prize,McG-I,mix_58fa089225bc,participant_mcg_mg6,McG,mixer_id=McG-I; legacy_mix_code=McG-I; mixer_institution_code=McG,false,,"No explicit participant-to-mixer identity mapping or creator/evaluator flag found in evaluations.csv, mixes.csv, retained feature table, or SCHEMA.md.",false,Institution equality alone was not used as self-rating evidence.
evaluation_0f53bccc9933,No Prize,McG-I,mix_58fa089225bc,participant_mcg_mcg_pro2,McG,mixer_id=McG-I; legacy_mix_code=McG-I; mixer_institution_code=McG,false,,"No explicit participant-to-mixer identity mapping or creator/evaluator flag found in evaluations.csv, mixes.csv, retained feature table, or SCHEMA.md.",false,Institution equality alone was not used as self-rating evidence.
evaluation_6cd605980474,No Prize,McG-I,mix_58fa089225bc,participant_mcg_mg8,McG,mixer_id=McG-I; legacy_mix_code=McG-I; mixer_institution_code=McG,false,,"No explicit participant-to-mixer identity mapping or creator/evaluator flag found in evaluations.csv, mixes.csv, retained feature table, or SCHEMA.md.",false,Institution equality alone was not used as self-rating evidence.
evaluation_8f786ac19365,No Prize,McG-I,mix_58fa089225bc,participant_mcg_mcg_subc,McG,mixer_id=McG-I; legacy_mix_code=McG-I; mixer_institution_code=McG,false,,"No explicit participant-to-mixer identity mapping or creator/evaluator flag found in evaluations.csv, mixes.csv, retained feature table, or SCHEMA.md.",false,Institution equality alone was not used as self-rating evidence.
evaluation_4d072b218859,No Prize,McG-I,mix_58fa089225bc,participant_mcg_mcg_f,McG,mixer_id=McG-I; legacy_mix_code=McG-I; mixer_institution_code=McG,false,,"No explicit participant-to-mixer identity mapping or creator/evaluator flag found in evaluations.csv, mixes.csv, retained feature table, or SCHEMA.md.",false,Institution equality alone was not used as self-rating evidence.
