evaluation_id,song,original_mix_name,mix_id,participant_id,evaluator_institution_code,mixer_identity_fields,self_rating_identifiable,self_rating_flag,evidence,exclusion_feasible,notes
evaluation_dc3a1e2f1b3a,Red To Blue,McG-A,mix_e2654ec905ad,participant_mcg_mcg_l,McG,mixer_id=McG-A; legacy_mix_code=McG-A; mixer_institution_code=McG,false,,"No explicit participant-to-mixer identity mapping or creator/evaluator flag found in evaluations.csv, mixes.csv, retained feature table, or SCHEMA.md.",false,Institution equality alone was not used as self-rating evidence.
evaluation_ba59f289bc72,Red To Blue,McG-A,mix_e2654ec905ad,participant_mcg_mcg_p,McG,mixer_id=McG-A; legacy_mix_code=McG-A; mixer_institution_code=McG,false,,"No explicit participant-to-mixer identity mapping or creator/evaluator flag found in evaluations.csv, mixes.csv, retained feature table, or SCHEMA.md.",false,Institution equality alone was not used as self-rating evidence.
evaluation_dbe331a792d4,Red To Blue,McG-A,mix_e2654ec905ad,participant_mcg_mcg_k,McG,mixer_id=McG-A; legacy_mix_code=McG-A; mixer_institution_code=McG,false,,"No explicit participant-to-mixer identity mapping or creator/evaluator flag found in evaluations.csv, mixes.csv, retained feature table, or SCHEMA.md.",false,Institution equality alone was not used as self-rating evidence.
evaluation_0bd851c8d1c8,Red To Blue,McG-A,mix_e2654ec905ad,participant_mcg_mcg_o,McG,mixer_id=McG-A; legacy_mix_code=McG-A; mixer_institution_code=McG,false,,"No explicit participant-to-mixer identity mapping or creator/evaluator flag found in evaluations.csv, mixes.csv, retained feature table, or SCHEMA.md.",false,Institution equality alone was not used as self-rating evidence.
evaluation_3c5dfb7e7c89,Red To Blue,McG-A,mix_e2654ec905ad,participant_mcg_mcg_subc,McG,mixer_id=McG-A; legacy_mix_code=McG-A; mixer_institution_code=McG,false,,"No explicit participant-to-mixer identity mapping or creator/evaluator flag found in evaluations.csv, mixes.csv, retained feature table, or SCHEMA.md.",false,Institution equality alone was not used as self-rating evidence.
evaluation_575d52180429,Red To Blue,McG-A,mix_e2654ec905ad,participant_mcg_mcg_n,McG,mixer_id=McG-A; legacy_mix_code=McG-A; mixer_institution_code=McG,false,,"No explicit participant-to-mixer identity mapping or creator/evaluator flag found in evaluations.csv, mixes.csv, retained feature table, or SCHEMA.md.",false,Institution equality alone was not used as self-rating evidence.
evaluation_85027e091e16,Red To Blue,McG-A,mix_e2654ec905ad,participant_mcg_mcg_suba,McG,mixer_id=McG-A; legacy_mix_code=McG-A; mixer_institution_code=McG,false,,"No explicit participant-to-mixer identity mapping or creator/evaluator flag found in evaluations.csv, mixes.csv, retained feature table, or SCHEMA.md.",false,Institution equality alone was not used as self-rating evidence.
evaluation_e954c10dcf98,Red To Blue,McG-A,mix_e2654ec905ad,participant_mcg_mcg_j,McG,mixer_id=McG-A; legacy_mix_code=McG-A; mixer_institution_code=McG,false,,"No explicit participant-to-mixer identity mapping or creator/evaluator flag found in evaluations.csv, mixes.csv, retained feature table, or SCHEMA.md.",false,Institution equality alone was not used as self-rating evidence.
evaluation_6f6267f3d528,Red To Blue,McG-A,mix_e2654ec905ad,participant_mcg_mcg_m,McG,mixer_id=McG-A; legacy_mix_code=McG-A; mixer_institution_code=McG,false,,"No explicit participant-to-mixer identity mapping or creator/evaluator flag found in evaluations.csv, mixes.csv, retained feature table, or SCHEMA.md.",false,Institution equality alone was not used as self-rating evidence.
evaluation_e1e946716e6e,Red To Blue,McG-A,mix_e2654ec905ad,participant_mcg_mcg_i,McG,mixer_id=McG-A; legacy_mix_code=McG-A; mixer_institution_code=McG,false,,"No explicit participant-to-mixer identity mapping or creator/evaluator flag found in evaluations.csv, mixes.csv, retained feature table, or SCHEMA.md.",false,Institution equality alone was not used as self-rating evidence.
