song,condition,triplet_id,rank,objective_score,original_mix_names,mix_ids,mean_ratings,rating_bins,rating_spread,minimum_acoustic_distance,mean_acoustic_distance,acoustic_score,rating_score,coverage_bonus,qc_penalty,qc_statuses,qc_flags,rating_counts,overlap_count,overlap_original_mix_names,selection_notes
I'd Like To Know,Similar Ratings,I'dLikeToKnow_SimilarRatings_00006,1,0.900474962007,PXL-S3|PXL-S5|PXL-S1,mix_65f41f41d3ab|mix_82d60d7c7fc5|mix_9ffcd672af17,0.387104|0.418306|0.521846,low|low|high,0.134741948699,2.63942489308,2.93241464762,1,0.502374810037,0,0,clear|clear|clear,false|false|false,30|30|30,0,,Acoustic diversity weighted 0.8; rating stratification weighted 0.2; ratings did not modify acoustic distances.
I'd Like To Know,Similar Ratings,I'dLikeToKnow_SimilarRatings_00007,2,0.654815971039,PXL-S3|PXL-S5|PXL-S6,mix_65f41f41d3ab|mix_82d60d7c7fc5|mix_ab8babdfa183,0.387104|0.418306|0.539234,low|low|high,0.152130597934,2.04348755554,2.72149482416,0.712518397573,0.424006264903,0,0,clear|clear|clear,false|false|false,30|30|30,1,PXL-S6,Acoustic diversity weighted 0.8; rating stratification weighted 0.2; ratings did not modify acoustic distances.
I'd Like To Know,Similar Ratings,I'dLikeToKnow_SimilarRatings_00026,3,0.645451529083,PXL-S5|PXL-S1|PXL-S6,mix_82d60d7c7fc5|mix_9ffcd672af17|mix_ab8babdfa183,0.418306|0.521846|0.539234,low|high|high,0.120928414699,2.05440680055,2.4548677152,0.665656725867,0.564630741945,0,0,clear|clear|clear,false|false|false,30|30|30,1,PXL-S6,Acoustic diversity weighted 0.8; rating stratification weighted 0.2; ratings did not modify acoustic distances.
I'd Like To Know,Similar Ratings,I'dLikeToKnow_SimilarRatings_00016,4,0.588943874194,PXL-S2|PXL-S5|PXL-S1,mix_6f8b655d7999|mix_82d60d7c7fc5|mix_9ffcd672af17,0.466242|0.418306|0.521846,low|low|high,0.103539765464,1.85592731216,2.41326400518,0.575430020973,0.64299928708,0,0,clear|clear|clear,false|false|false,30|30|30,1,PXL-S2,Acoustic diversity weighted 0.8; rating stratification weighted 0.2; ratings did not modify acoustic distances.
I'd Like To Know,Similar Ratings,I'dLikeToKnow_SimilarRatings_00008,5,0.588846945287,PXL-S3|PXL-S5|PXL-S4,mix_65f41f41d3ab|mix_82d60d7c7fc5|mix_b05651ab273c,0.387104|0.418306|0.514907,low|low|medium,0.127803227736,1.8102321631,2.65269741206,0.602646984447,0.533646788649,0,0,clear|clear|clear,false|false|false,30|30|30,0,,Acoustic diversity weighted 0.8; rating stratification weighted 0.2; ratings did not modify acoustic distances.
I'd Like To Know,Similar Ratings,I'dLikeToKnow_SimilarRatings_00010,6,0.581471136372,PXL-S3|PXL-S1|PXL-S6,mix_65f41f41d3ab|mix_9ffcd672af17|mix_ab8babdfa183,0.387104|0.521846|0.539234,low|high|high,0.152130597934,2.04348755554,2.24577308306,0.620837354239,0.424006264903,0,0,clear|clear|clear,false|false|false,30|30|30,1,PXL-S6,Acoustic diversity weighted 0.8; rating stratification weighted 0.2; ratings did not modify acoustic distances.
I'd Like To Know,Similar Ratings,I'dLikeToKnow_SimilarRatings_00027,7,0.565843495082,PXL-S5|PXL-S1|PXL-S4,mix_82d60d7c7fc5|mix_9ffcd672af17|mix_b05651ab273c,0.418306|0.521846|0.514907,low|high|medium,0.103539765464,1.80185766445,2.37963905522,0.546554547083,0.64299928708,0,0,clear|clear|clear,false|false|false,30|30|30,0,,Acoustic diversity weighted 0.8; rating stratification weighted 0.2; ratings did not modify acoustic distances.
I'd Like To Know,Similar Ratings,I'dLikeToKnow_SimilarRatings_00009,8,0.532805741496,PXL-S3|PXL-S5|PXL-S7,mix_65f41f41d3ab|mix_82d60d7c7fc5|mix_b393d3919c78,0.387104|0.418306|0.633314,low|low|high,0.246210387232,1.97772901106,2.62148188628,0.66600717687,0,0,0,clear|clear|clear,false|false|false,30|30|30,1,PXL-S7,Acoustic diversity weighted 0.8; rating stratification weighted 0.2; ratings did not modify acoustic distances.
I'd Like To Know,Similar Ratings,I'dLikeToKnow_SimilarRatings_00032,9,0.523691720384,PXL-S1|PXL-S6|PXL-S4,mix_9ffcd672af17|mix_ab8babdfa183|mix_b05651ab273c,0.521846|0.539234|0.514907,high|high|medium,0.024327370198,1.70400976128,1.85342474209,0.40461465048,1,0,0,clear|clear|clear,false|false|false,30|30|30,1,PXL-S6,Acoustic diversity weighted 0.8; rating stratification weighted 0.2; ratings did not modify acoustic distances.
I'd Like To Know,Similar Ratings,I'dLikeToKnow_SimilarRatings_00029,10,0.510826483258,PXL-S5|PXL-S6|PXL-S4,mix_82d60d7c7fc5|mix_ab8babdfa183|mix_b05651ab273c,0.418306|0.539234|0.514907,low|high|medium,0.120928414699,1.70400976128,2.33474904322,0.497375418586,0.564630741945,0,0,clear|clear|clear,false|false|false,30|30|30,1,PXL-S6,Acoustic diversity weighted 0.8; rating stratification weighted 0.2; ratings did not modify acoustic distances.
New Skin,Similar Ratings,NewSkin_SimilarRatings_00001,1,0.838165209536,DU-Q|DU-R|DU-O,mix_221967d4097c|mix_42350ee2e7ab|mix_48521615c4db,0.586993|0.273390|0.593892,medium|low|high,0.320502326666,2.38104672679,2.98827558384,1,0.19082604768,0,0,clear|clear|clear,false|false|false,53|53|53,0,,Acoustic diversity weighted 0.8; rating stratification weighted 0.2; ratings did not modify acoustic distances.
