song,condition,triplet_id,pair,mix_i,mix_j,lag_frames,sample_offset,millisecond_offset,maximum_correlation,peak_correlation,alignment_confidence,common_overlap_seconds,alignment_quality,thresholds
I'd Like To Know,Similar Ratings,I'dLikeToKnow_SimilarRatings_00006,PXL-S3-PXL-S5,PXL-S3,PXL-S5,0,0,0,0.764993672916,0.764993672916,0.764993672916,28,PASS,PASS <=10 ms and correlation >=0.60; REVIEW <=30 ms and correlation >=0.35; otherwise FAIL
I'd Like To Know,Similar Ratings,I'dLikeToKnow_SimilarRatings_00006,PXL-S3-PXL-S1,PXL-S3,PXL-S1,0,0,0,0.628771284689,0.628771284689,0.628771284689,28,PASS,PASS <=10 ms and correlation >=0.60; REVIEW <=30 ms and correlation >=0.35; otherwise FAIL
I'd Like To Know,Similar Ratings,I'dLikeToKnow_SimilarRatings_00006,PXL-S5-PXL-S1,PXL-S5,PXL-S1,0,0,0,0.743414197035,0.743414197035,0.743414197035,28,PASS,PASS <=10 ms and correlation >=0.60; REVIEW <=30 ms and correlation >=0.35; otherwise FAIL
I'd Like To Know,Wide Ratings,I'dLikeToKnow_WideRatings_00024,PXL-S2-PXL-S6,PXL-S2,PXL-S6,0,0,0,0.696629889617,0.696629889617,0.696629889617,28,PASS,PASS <=10 ms and correlation >=0.60; REVIEW <=30 ms and correlation >=0.35; otherwise FAIL
I'd Like To Know,Wide Ratings,I'dLikeToKnow_WideRatings_00024,PXL-S2-PXL-S7,PXL-S2,PXL-S7,0,0,0,0.762125273069,0.762125273069,0.762125273069,28,PASS,PASS <=10 ms and correlation >=0.60; REVIEW <=30 ms and correlation >=0.35; otherwise FAIL
I'd Like To Know,Wide Ratings,I'dLikeToKnow_WideRatings_00024,PXL-S6-PXL-S7,PXL-S6,PXL-S7,0,0,0,0.780197823491,0.780197823491,0.780197823491,28,PASS,PASS <=10 ms and correlation >=0.60; REVIEW <=30 ms and correlation >=0.35; otherwise FAIL
New Skin,Similar Ratings,NewSkin_SimilarRatings_00001,DU-Q-DU-R,DU-Q,DU-R,0,0,0,0.707868657453,0.707868657453,0.707868657453,28,PASS,PASS <=10 ms and correlation >=0.60; REVIEW <=30 ms and correlation >=0.35; otherwise FAIL
New Skin,Similar Ratings,NewSkin_SimilarRatings_00001,DU-Q-DU-O,DU-Q,DU-O,0,0,0,0.843994082355,0.843994082355,0.843994082355,28,PASS,PASS <=10 ms and correlation >=0.60; REVIEW <=30 ms and correlation >=0.35; otherwise FAIL
New Skin,Similar Ratings,NewSkin_SimilarRatings_00001,DU-R-DU-O,DU-R,DU-O,0,0,0,0.69137434048,0.69137434048,0.69137434048,28,PASS,PASS <=10 ms and correlation >=0.60; REVIEW <=30 ms and correlation >=0.35; otherwise FAIL
New Skin,Wide Ratings,NewSkin_WideRatings_00035,DU-U-DU-T,DU-U,DU-T,0,0,0,0.871723397308,0.871723397308,0.871723397308,28,PASS,PASS <=10 ms and correlation >=0.60; REVIEW <=30 ms and correlation >=0.35; otherwise FAIL
New Skin,Wide Ratings,NewSkin_WideRatings_00035,DU-U-DU-S,DU-U,DU-S,1,512,11.6099773243,0.793336319226,0.793336319226,0.793336319226,27.9883900227,REVIEW,PASS <=10 ms and correlation >=0.60; REVIEW <=30 ms and correlation >=0.35; otherwise FAIL
New Skin,Wide Ratings,NewSkin_WideRatings_00035,DU-T-DU-S,DU-T,DU-S,1,512,11.6099773243,0.830178577588,0.830178577588,0.830178577588,27.9883900227,REVIEW,PASS <=10 ms and correlation >=0.60; REVIEW <=30 ms and correlation >=0.35; otherwise FAIL
No Prize,Similar Ratings,NoPrize_SimilarRatings_00075,McG-L-McG-pro2,McG-L,McG-pro2,1,512,11.6099773243,0.672335842411,0.672335842411,0.672335842411,27.9883900227,REVIEW,PASS <=10 ms and correlation >=0.60; REVIEW <=30 ms and correlation >=0.35; otherwise FAIL
No Prize,Similar Ratings,NoPrize_SimilarRatings_00075,McG-L-McG-N,McG-L,McG-N,0,0,0,0.743891027059,0.743891027059,0.743891027059,28,PASS,PASS <=10 ms and correlation >=0.60; REVIEW <=30 ms and correlation >=0.35; otherwise FAIL
No Prize,Similar Ratings,NoPrize_SimilarRatings_00075,McG-pro2-McG-N,McG-pro2,McG-N,-1,-512,-11.6099773243,0.552615798816,0.552615798816,0.552615798816,27.9883900227,REVIEW,PASS <=10 ms and correlation >=0.60; REVIEW <=30 ms and correlation >=0.35; otherwise FAIL
No Prize,Wide Ratings,NoPrize_WideRatings_00013,McG-K-McG-P,McG-K,McG-P,0,0,0,0.72559227586,0.72559227586,0.72559227586,28,PASS,PASS <=10 ms and correlation >=0.60; REVIEW <=30 ms and correlation >=0.35; otherwise FAIL
No Prize,Wide Ratings,NoPrize_WideRatings_00013,McG-K-McG-O,McG-K,McG-O,0,0,0,0.506411055304,0.506411055304,0.506411055304,28,REVIEW,PASS <=10 ms and correlation >=0.60; REVIEW <=30 ms and correlation >=0.35; otherwise FAIL
No Prize,Wide Ratings,NoPrize_WideRatings_00013,McG-P-McG-O,McG-P,McG-O,0,0,0,0.689007438871,0.689007438871,0.689007438871,28,PASS,PASS <=10 ms and correlation >=0.60; REVIEW <=30 ms and correlation >=0.35; otherwise FAIL
Vermont,Similar Ratings,Vermont_SimilarRatings_00022,DU-P2-DU-O2,DU-P2,DU-O2,0,0,0,0.743225715229,0.743225715229,0.743225715229,28,PASS,PASS <=10 ms and correlation >=0.60; REVIEW <=30 ms and correlation >=0.35; otherwise FAIL
Vermont,Similar Ratings,Vermont_SimilarRatings_00022,DU-P2-PXL-L3,DU-P2,PXL-L3,1,512,11.6099773243,0.700515636105,0.700515636105,0.700515636105,27.9883900227,REVIEW,PASS <=10 ms and correlation >=0.60; REVIEW <=30 ms and correlation >=0.35; otherwise FAIL
Vermont,Similar Ratings,Vermont_SimilarRatings_00022,DU-O2-PXL-L3,DU-O2,PXL-L3,1,512,11.6099773243,0.671673197205,0.671673197205,0.671673197205,27.9883900227,REVIEW,PASS <=10 ms and correlation >=0.60; REVIEW <=30 ms and correlation >=0.35; otherwise FAIL
Vermont,Wide Ratings,Vermont_WideRatings_00013,PXL-L1-PXL-L4,PXL-L1,PXL-L4,0,0,0,0.806208593651,0.806208593651,0.806208593651,28,PASS,PASS <=10 ms and correlation >=0.60; REVIEW <=30 ms and correlation >=0.35; otherwise FAIL
Vermont,Wide Ratings,Vermont_WideRatings_00013,PXL-L1-PXL-L5,PXL-L1,PXL-L5,0,0,0,0.785955121026,0.785955121026,0.785955121026,28,PASS,PASS <=10 ms and correlation >=0.60; REVIEW <=30 ms and correlation >=0.35; otherwise FAIL
Vermont,Wide Ratings,Vermont_WideRatings_00013,PXL-L4-PXL-L5,PXL-L4,PXL-L5,0,0,0,0.740536530439,0.740536530439,0.740536530439,28,PASS,PASS <=10 ms and correlation >=0.60; REVIEW <=30 ms and correlation >=0.35; otherwise FAIL
