song,condition,triplet_id,rank,objective_score,original_mix_names,mix_ids,mean_ratings,rating_bins,rating_spread,minimum_acoustic_distance,mean_acoustic_distance,acoustic_score,rating_score,coverage_bonus,qc_penalty,qc_statuses,qc_flags,rating_counts,overlap_count,overlap_original_mix_names,selection_notes
I'd Like To Know,Wide Ratings,I'dLikeToKnow_WideRatings_00006,1,0.899525037993,PXL-S3|PXL-S5|PXL-S1,mix_65f41f41d3ab|mix_82d60d7c7fc5|mix_9ffcd672af17,0.387104|0.418306|0.521846,low|low|high,0.134741948699,2.63942489308,2.93241464762,1,0.497625189963,0,0,clear|clear|clear,false|false|false,30|30|30,3,PXL-S1|PXL-S3|PXL-S5,Acoustic diversity weighted 0.8; rating stratification weighted 0.2; ratings did not modify acoustic distances.
I'd Like To Know,Wide Ratings,I'dLikeToKnow_WideRatings_00009,2,0.732805741496,PXL-S3|PXL-S5|PXL-S7,mix_65f41f41d3ab|mix_82d60d7c7fc5|mix_b393d3919c78,0.387104|0.418306|0.633314,low|low|high,0.246210387232,1.97772901106,2.62148188628,0.66600717687,1,0,0,clear|clear|clear,false|false|false,30|30|30,2,PXL-S3|PXL-S5,Acoustic diversity weighted 0.8; rating stratification weighted 0.2; ratings did not modify acoustic distances.
I'd Like To Know,Wide Ratings,I'dLikeToKnow_WideRatings_00007,3,0.685213465078,PXL-S3|PXL-S5|PXL-S6,mix_65f41f41d3ab|mix_82d60d7c7fc5|mix_ab8babdfa183,0.387104|0.418306|0.539234,low|low|high,0.152130597934,2.04348755554,2.72149482416,0.712518397573,0.575993735097,0,0,clear|clear|clear,false|false|false,30|30|30,2,PXL-S3|PXL-S5,Acoustic diversity weighted 0.8; rating stratification weighted 0.2; ratings did not modify acoustic distances.
I'd Like To Know,Wide Ratings,I'dLikeToKnow_WideRatings_00026,4,0.619599232305,PXL-S5|PXL-S1|PXL-S6,mix_82d60d7c7fc5|mix_9ffcd672af17|mix_ab8babdfa183,0.418306|0.521846|0.539234,low|high|high,0.120928414699,2.05440680055,2.4548677152,0.665656725867,0.435369258055,0,0,clear|clear|clear,false|false|false,30|30|30,2,PXL-S1|PXL-S5,Acoustic diversity weighted 0.8; rating stratification weighted 0.2; ratings did not modify acoustic distances.
I'd Like To Know,Wide Ratings,I'dLikeToKnow_WideRatings_00010,5,0.61186863041,PXL-S3|PXL-S1|PXL-S6,mix_65f41f41d3ab|mix_9ffcd672af17|mix_ab8babdfa183,0.387104|0.521846|0.539234,low|high|high,0.152130597934,2.04348755554,2.24577308306,0.620837354239,0.575993735097,0,0,clear|clear|clear,false|false|false,30|30|30,2,PXL-S1|PXL-S3,Acoustic diversity weighted 0.8; rating stratification weighted 0.2; ratings did not modify acoustic distances.
I'd Like To Know,Wide Ratings,I'dLikeToKnow_WideRatings_00008,6,0.575388229828,PXL-S3|PXL-S5|PXL-S4,mix_65f41f41d3ab|mix_82d60d7c7fc5|mix_b05651ab273c,0.387104|0.418306|0.514907,low|low|medium,0.127803227736,1.8102321631,2.65269741206,0.602646984447,0.466353211351,0,0,clear|clear|clear,false|false|false,30|30|30,2,PXL-S3|PXL-S5,Acoustic diversity weighted 0.8; rating stratification weighted 0.2; ratings did not modify acoustic distances.
I'd Like To Know,Wide Ratings,I'dLikeToKnow_WideRatings_00015,7,0.570745086963,PXL-S3|PXL-S4|PXL-S7,mix_65f41f41d3ab|mix_b05651ab273c|mix_b393d3919c78,0.387104|0.514907|0.633314,low|medium|high,0.246210387232,1.70071404604,1.97111768203,0.425931358703,1,0.03,0,clear|clear|clear,false|false|false,30|30|30,1,PXL-S3,Acoustic diversity weighted 0.8; rating stratification weighted 0.2; ratings did not modify acoustic distances.
I'd Like To Know,Wide Ratings,I'dLikeToKnow_WideRatings_00031,8,0.564648860317,PXL-S5|PXL-S4|PXL-S7,mix_82d60d7c7fc5|mix_b05651ab273c|mix_b393d3919c78,0.418306|0.514907|0.633314,low|medium|high,0.215008203997,1.70071404604,2.11399777312,0.453467194657,0.859375522958,0.03,0,clear|clear|clear,false|false|false,30|30|30,1,PXL-S5,Acoustic diversity weighted 0.8; rating stratification weighted 0.2; ratings did not modify acoustic distances.
I'd Like To Know,Wide Ratings,I'dLikeToKnow_WideRatings_00012,9,0.543831225836,PXL-S3|PXL-S1|PXL-S7,mix_65f41f41d3ab|mix_9ffcd672af17|mix_b393d3919c78,0.387104|0.521846|0.633314,low|high|high,0.246210387232,1.59744017638,2.21309063547,0.429789032295,1,0,0,clear|clear|clear,false|false|false,30|30|30,2,PXL-S1|PXL-S3,Acoustic diversity weighted 0.8; rating stratification weighted 0.2; ratings did not modify acoustic distances.
I'd Like To Know,Wide Ratings,I'dLikeToKnow_WideRatings_00027,10,0.53864378025,PXL-S5|PXL-S1|PXL-S4,mix_82d60d7c7fc5|mix_9ffcd672af17|mix_b05651ab273c,0.418306|0.521846|0.514907,low|high|medium,0.103539765464,1.80185766445,2.37963905522,0.546554547083,0.35700071292,0.03,0,clear|clear|clear,false|false|false,30|30|30,2,PXL-S1|PXL-S5,Acoustic diversity weighted 0.8; rating stratification weighted 0.2; ratings did not modify acoustic distances.
New Skin,Wide Ratings,NewSkin_WideRatings_00001,1,0.991834790464,DU-Q|DU-R|DU-O,mix_221967d4097c|mix_42350ee2e7ab|mix_48521615c4db,0.586993|0.273390|0.593892,medium|low|high,0.320502326666,2.38104672679,2.98827558384,1,0.80917395232,0.03,0,clear|clear|clear,false|false|false,53|53|53,3,DU-O|DU-Q|DU-R,Acoustic diversity weighted 0.8; rating stratification weighted 0.2; ratings did not modify acoustic distances.
