song,condition,triplet_id,pair,mix_i,mix_j,lag_frames,sample_offset,millisecond_offset,maximum_correlation,peak_correlation,alignment_confidence,common_overlap_seconds,alignment_quality,thresholds
In The Meantime,Similar Ratings,InTheMeantime_SimilarRatings_00189,QUT-B-DU-H,QUT-B,DU-H,0,0,0,0.582008926811,0.582008926811,0.582008926811,28,REVIEW,PASS <=10 ms and correlation >=0.60; REVIEW <=30 ms and correlation >=0.35; otherwise FAIL
In The Meantime,Similar Ratings,InTheMeantime_SimilarRatings_00189,QUT-B-DU-I,QUT-B,DU-I,-2,-1024,-23.2199546485,0.554726736911,0.554726736911,0.554726736911,27.9767800454,REVIEW,PASS <=10 ms and correlation >=0.60; REVIEW <=30 ms and correlation >=0.35; otherwise FAIL
In The Meantime,Similar Ratings,InTheMeantime_SimilarRatings_00189,DU-H-DU-I,DU-H,DU-I,-3,-1536,-34.8299319728,0.616800971999,0.616800971999,0.616800971999,27.965170068,FAIL,PASS <=10 ms and correlation >=0.60; REVIEW <=30 ms and correlation >=0.35; otherwise FAIL
In The Meantime,Wide Ratings,InTheMeantime_WideRatings_00360,DU-K-QUT-pro,DU-K,QUT-pro,0,0,0,0.704230415655,0.704230415655,0.704230415655,28,PASS,PASS <=10 ms and correlation >=0.60; REVIEW <=30 ms and correlation >=0.35; otherwise FAIL
In The Meantime,Wide Ratings,InTheMeantime_WideRatings_00360,DU-K-DU-N,DU-K,DU-N,2,1024,23.2199546485,0.682056501594,0.682056501594,0.682056501594,27.9767800454,REVIEW,PASS <=10 ms and correlation >=0.60; REVIEW <=30 ms and correlation >=0.35; otherwise FAIL
In The Meantime,Wide Ratings,InTheMeantime_WideRatings_00360,QUT-pro-DU-N,QUT-pro,DU-N,2,1024,23.2199546485,0.719004883998,0.719004883998,0.719004883998,27.9767800454,REVIEW,PASS <=10 ms and correlation >=0.60; REVIEW <=30 ms and correlation >=0.35; otherwise FAIL
Lead Me,Similar Ratings,LeadMe_SimilarRatings_00209,DU-D-DU-E,DU-D,DU-E,-2,-1024,-23.2199546485,0.459662289545,0.459662289545,0.459662289545,27.9767800454,REVIEW,PASS <=10 ms and correlation >=0.60; REVIEW <=30 ms and correlation >=0.35; otherwise FAIL
Lead Me,Similar Ratings,LeadMe_SimilarRatings_00209,DU-D-QUT-F,DU-D,QUT-F,2,1024,23.2199546485,0.542971880314,0.542971880314,0.542971880314,27.9767800454,REVIEW,PASS <=10 ms and correlation >=0.60; REVIEW <=30 ms and correlation >=0.35; otherwise FAIL
Lead Me,Similar Ratings,LeadMe_SimilarRatings_00209,DU-E-QUT-F,DU-E,QUT-F,4,2048,46.4399092971,0.599491560024,0.599491560024,0.599491560024,27.9535600907,FAIL,PASS <=10 ms and correlation >=0.60; REVIEW <=30 ms and correlation >=0.35; otherwise FAIL
Lead Me,Wide Ratings,LeadMe_WideRatings_00366,PXL-L1-PXL-L4,PXL-L1,PXL-L4,-1,-512,-11.6099773243,0.833378427456,0.833378427456,0.833378427456,27.9883900227,REVIEW,PASS <=10 ms and correlation >=0.60; REVIEW <=30 ms and correlation >=0.35; otherwise FAIL
Lead Me,Wide Ratings,LeadMe_WideRatings_00366,PXL-L1-McG-pro2,PXL-L1,McG-pro2,-4,-2048,-46.4399092971,0.492359529944,0.492359529944,0.492359529944,27.9535600907,FAIL,PASS <=10 ms and correlation >=0.60; REVIEW <=30 ms and correlation >=0.35; otherwise FAIL
Lead Me,Wide Ratings,LeadMe_WideRatings_00366,PXL-L4-McG-pro2,PXL-L4,McG-pro2,-3,-1536,-34.8299319728,0.600475059117,0.600475059117,0.600475059117,27.965170068,FAIL,PASS <=10 ms and correlation >=0.60; REVIEW <=30 ms and correlation >=0.35; otherwise FAIL
Pouring Room,Similar Ratings,PouringRoom_SimilarRatings_00019,McG-R-McG-T,McG-R,McG-T,0,0,0,0.363658807987,0.363658807987,0.363658807987,28,REVIEW,PASS <=10 ms and correlation >=0.60; REVIEW <=30 ms and correlation >=0.35; otherwise FAIL
Pouring Room,Similar Ratings,PouringRoom_SimilarRatings_00019,McG-R-McG-X,McG-R,McG-X,0,0,0,0.389335718031,0.389335718031,0.389335718031,28,REVIEW,PASS <=10 ms and correlation >=0.60; REVIEW <=30 ms and correlation >=0.35; otherwise FAIL
Pouring Room,Similar Ratings,PouringRoom_SimilarRatings_00019,McG-T-McG-X,McG-T,McG-X,0,0,0,0.765084243561,0.765084243561,0.765084243561,28,PASS,PASS <=10 ms and correlation >=0.60; REVIEW <=30 ms and correlation >=0.35; otherwise FAIL
Pouring Room,Wide Ratings,PouringRoom_WideRatings_00040,McG-pro1-McG-U,McG-pro1,McG-U,0,0,0,0.49436070252,0.49436070252,0.49436070252,28,REVIEW,PASS <=10 ms and correlation >=0.60; REVIEW <=30 ms and correlation >=0.35; otherwise FAIL
Pouring Room,Wide Ratings,PouringRoom_WideRatings_00040,McG-pro1-McG-V,McG-pro1,McG-V,5,2560,58.0498866213,0.670290032061,0.670290032061,0.670290032061,27.9419501134,FAIL,PASS <=10 ms and correlation >=0.60; REVIEW <=30 ms and correlation >=0.35; otherwise FAIL
Pouring Room,Wide Ratings,PouringRoom_WideRatings_00040,McG-U-McG-V,McG-U,McG-V,5,2560,58.0498866213,0.285609441946,0.285609441946,0.285609441946,27.9419501134,FAIL,PASS <=10 ms and correlation >=0.60; REVIEW <=30 ms and correlation >=0.35; otherwise FAIL
Red To Blue,Similar Ratings,RedToBlue_SimilarRatings_00059,McG-B-McG-G,McG-B,McG-G,1,512,11.6099773243,0.575262122091,0.575262122091,0.575262122091,27.9883900227,REVIEW,PASS <=10 ms and correlation >=0.60; REVIEW <=30 ms and correlation >=0.35; otherwise FAIL
Red To Blue,Similar Ratings,RedToBlue_SimilarRatings_00059,McG-B-McG-F,McG-B,McG-F,0,0,0,0.684736205444,0.684736205444,0.684736205444,28,PASS,PASS <=10 ms and correlation >=0.60; REVIEW <=30 ms and correlation >=0.35; otherwise FAIL
