synthetic_label,comparison_id,comparison_protocol_version,metric_protocol_version,synthetic_comparison_notice,comparison_type,metric,model_a,condition_a,model_b,condition_b,baseline_model,effect_estimate,effect_direction_definition,ci_lower,ci_upper,bootstrap_replicates,bootstrap_mode,bootstrap_master_seed,bootstrap_derived_seed,ci_method,ci_level,cluster_unit,primary_estimand,participant_count,aligned_target_count,valid_pair_count,coverage_a,coverage_b,comparison_status,status_reason,principal_baseline_comparator_status,p_value
SYNTHETIC / MOCK - NOT SCIENTIFIC RESULTS,personalisation_history_vs_non_history__strict_top1_accuracy__600d972ec4da,phase6f_comparison_protocol_v1,phase6f_metric_protocol_v1,Synthetic/mock comparison values validate statistical plumbing only and are not evidence about LLM or baseline performance.,personalisation_history_vs_non_history,strict_top1_accuracy,centaur,personalised_history,centaur,non_history,,0,personalised_history - non_history,0,0,200,test,20260814,2745124190,percentile,0.95,participant_id,pooled eligible held-out participant-trial performance with participant-cluster bootstrap uncertainty,2,11,11,1,1,ok,,not_singly_designated_both_primary_baselines_predefined_confirmation_required,
SYNTHETIC / MOCK - NOT SCIENTIFIC RESULTS,personalisation_history_vs_non_history__mae__2b68ded3e0cc,phase6f_comparison_protocol_v1,phase6f_metric_protocol_v1,Synthetic/mock comparison values validate statistical plumbing only and are not evidence about LLM or baseline performance.,personalisation_history_vs_non_history,mae,centaur,personalised_history,centaur,non_history,,0,personalised_history - non_history; negative means lower error under personalised_history,0,0,200,test,20260814,3879760201,percentile,0.95,participant_id,pooled eligible held-out participant-trial performance with participant-cluster bootstrap uncertainty,2,11,11,1,1,ok,,not_singly_designated_both_primary_baselines_predefined_confirmation_required,
SYNTHETIC / MOCK - NOT SCIENTIFIC RESULTS,personalisation_history_vs_non_history__rmse__b201a8fcdbad,phase6f_comparison_protocol_v1,phase6f_metric_protocol_v1,Synthetic/mock comparison values validate statistical plumbing only and are not evidence about LLM or baseline performance.,personalisation_history_vs_non_history,rmse,centaur,personalised_history,centaur,non_history,,0,personalised_history - non_history; negative means lower error under personalised_history,0,0,200,test,20260814,1924200973,percentile,0.95,participant_id,pooled eligible held-out participant-trial performance with participant-cluster bootstrap uncertainty,2,11,11,1,1,ok,,not_singly_designated_both_primary_baselines_predefined_confirmation_required,
SYNTHETIC / MOCK - NOT SCIENTIFIC RESULTS,personalisation_history_vs_non_history__strict_top1_accuracy__d4df70ab6e5d,phase6f_comparison_protocol_v1,phase6f_metric_protocol_v1,Synthetic/mock comparison values validate statistical plumbing only and are not evidence about LLM or baseline performance.,personalisation_history_vs_non_history,strict_top1_accuracy,claude_sonnet,personalised_history,claude_sonnet,non_history,,0,personalised_history - non_history,0,0,200,test,20260814,2114398220,percentile,0.95,participant_id,pooled eligible held-out participant-trial performance with participant-cluster bootstrap uncertainty,2,11,11,1,1,ok,,not_singly_designated_both_primary_baselines_predefined_confirmation_required,
SYNTHETIC / MOCK - NOT SCIENTIFIC RESULTS,personalisation_history_vs_non_history__mae__b134ee4e7072,phase6f_comparison_protocol_v1,phase6f_metric_protocol_v1,Synthetic/mock comparison values validate statistical plumbing only and are not evidence about LLM or baseline performance.,personalisation_history_vs_non_history,mae,claude_sonnet,personalised_history,claude_sonnet,non_history,,0,personalised_history - non_history; negative means lower error under personalised_history,0,0,200,test,20260814,3798001237,percentile,0.95,participant_id,pooled eligible held-out participant-trial performance with participant-cluster bootstrap uncertainty,2,11,11,1,1,ok,,not_singly_designated_both_primary_baselines_predefined_confirmation_required,
SYNTHETIC / MOCK - NOT SCIENTIFIC RESULTS,personalisation_history_vs_non_history__rmse__7bc5a22d85ec,phase6f_comparison_protocol_v1,phase6f_metric_protocol_v1,Synthetic/mock comparison values validate statistical plumbing only and are not evidence about LLM or baseline performance.,personalisation_history_vs_non_history,rmse,claude_sonnet,personalised_history,claude_sonnet,non_history,,0,personalised_history - non_history; negative means lower error under personalised_history,0,0,200,test,20260814,2437997256,percentile,0.95,participant_id,pooled eligible held-out participant-trial performance with participant-cluster bootstrap uncertainty,2,11,11,1,1,ok,,not_singly_designated_both_primary_baselines_predefined_confirmation_required,
SYNTHETIC / MOCK - NOT SCIENTIFIC RESULTS,personalisation_history_vs_non_history__strict_top1_accuracy__050273e83366,phase6f_comparison_protocol_v1,phase6f_metric_protocol_v1,Synthetic/mock comparison values validate statistical plumbing only and are not evidence about LLM or baseline performance.,personalisation_history_vs_non_history,strict_top1_accuracy,gpt,personalised_history,gpt,non_history,,0,personalised_history - non_history,0,0,200,test,20260814,366562794,percentile,0.95,participant_id,pooled eligible held-out participant-trial performance with participant-cluster bootstrap uncertainty,2,11,11,1,1,ok,,not_singly_designated_both_primary_baselines_predefined_confirmation_required,
SYNTHETIC / MOCK - NOT SCIENTIFIC RESULTS,personalisation_history_vs_non_history__mae__c647c6ed7a0b,phase6f_comparison_protocol_v1,phase6f_metric_protocol_v1,Synthetic/mock comparison values validate statistical plumbing only and are not evidence about LLM or baseline performance.,personalisation_history_vs_non_history,mae,gpt,personalised_history,gpt,non_history,,0,personalised_history - non_history; negative means lower error under personalised_history,0,0,200,test,20260814,1343336451,percentile,0.95,participant_id,pooled eligible held-out participant-trial performance with participant-cluster bootstrap uncertainty,2,11,11,1,1,ok,,not_singly_designated_both_primary_baselines_predefined_confirmation_required,
SYNTHETIC / MOCK - NOT SCIENTIFIC RESULTS,personalisation_history_vs_non_history__rmse__b007672da9f5,phase6f_comparison_protocol_v1,phase6f_metric_protocol_v1,Synthetic/mock comparison values validate statistical plumbing only and are not evidence about LLM or baseline performance.,personalisation_history_vs_non_history,rmse,gpt,personalised_history,gpt,non_history,,0,personalised_history - non_history; negative means lower error under personalised_history,0,0,200,test,20260814,2842723098,percentile,0.95,participant_id,pooled eligible held-out participant-trial performance with participant-cluster bootstrap uncertainty,2,11,11,1,1,ok,,not_singly_designated_both_primary_baselines_predefined_confirmation_required,
SYNTHETIC / MOCK - NOT SCIENTIFIC RESULTS,personalisation_history_vs_non_history__strict_top1_accuracy__34599f916d1a,phase6f_comparison_protocol_v1,phase6f_metric_protocol_v1,Synthetic/mock comparison values validate statistical plumbing only and are not evidence about LLM or baseline performance.,personalisation_history_vs_non_history,strict_top1_accuracy,llama_3_1_70b_instruct,personalised_history,llama_3_1_70b_instruct,non_history,,0,personalised_history - non_history,0,0,200,test,20260814,1430714309,percentile,0.95,participant_id,pooled eligible held-out participant-trial performance with participant-cluster bootstrap uncertainty,2,11,11,1,1,ok,,not_singly_designated_both_primary_baselines_predefined_confirmation_required,
