participant_id,trial_id,trial_order,trial_index,episode_id,scenario_id,song_id,excerpt_id,target_eligible,target_ineligibility_reasons,history_eligible,history_ineligibility_reasons,history_comment_available,observed_max_rating,observed_preferred_set,observed_preferred_mix,is_single_winner,n_preferred_tied,human_rating_A,human_rating_B,human_rating_C,human_rating_D,human_rating_E,observed_rank_A,observed_rank_B,observed_rank_C,observed_rank_D,observed_rank_E
SYNTHETIC_PHASE6B1_P001,SYNTHETIC_PHASE6B1_P001__trial_01,1,1,EDR-1,EDR-1,lead_me,group_01_song_a_lead_me,True,,True,,True,43,"[""E""]",E,True,1,39,40,41,42,43,5,4,3,2,1
SYNTHETIC_PHASE6B1_P001,SYNTHETIC_PHASE6B1_P001__trial_02,2,2,EDR-1,EDR-1,id_like_to_know,group_01_song_b_id_like_to_know,True,,True,,True,46,"[""E""]",E,True,1,42,43,44,45,46,5,4,3,2,1
SYNTHETIC_PHASE6B1_P001,SYNTHETIC_PHASE6B1_P001__trial_03,3,3,EDR-2,EDR-2,lead_me,group_01_song_a_lead_me,True,,True,,True,49,"[""E""]",E,True,1,45,46,47,48,49,5,4,3,2,1
SYNTHETIC_PHASE6B1_P001,SYNTHETIC_PHASE6B1_P001__trial_04,4,4,EDR-2,EDR-2,id_like_to_know,group_01_song_b_id_like_to_know,True,,True,,True,52,"[""E""]",E,True,1,48,49,50,51,52,5,4,3,2,1
SYNTHETIC_PHASE6B1_P001,SYNTHETIC_PHASE6B1_P001__trial_05,5,5,FM-1,FM-1,lead_me,group_01_song_a_lead_me,True,,True,,True,55,"[""E""]",E,True,1,51,52,53,54,55,5,4,3,2,1
SYNTHETIC_PHASE6B1_P001,SYNTHETIC_PHASE6B1_P001__trial_06,6,6,FM-1,FM-1,id_like_to_know,group_01_song_b_id_like_to_know,True,,True,,True,58,"[""E""]",E,True,1,54,55,56,57,58,5,4,3,2,1
SYNTHETIC_PHASE6B1_P002,SYNTHETIC_PHASE6B1_P002__trial_01,1,1,EDR-1,EDR-1,in_the_meantime,group_02_song_a_in_the_meantime,True,,True,,True,43,"[""E""]",E,True,1,39,40,41,42,43,5,4,3,2,1
SYNTHETIC_PHASE6B1_P002,SYNTHETIC_PHASE6B1_P002__trial_02,2,2,EDR-1,EDR-1,pouring_room,group_02_song_b_pouring_room,True,,True,,True,46,"[""E""]",E,True,1,42,43,44,45,46,5,4,3,2,1
SYNTHETIC_PHASE6B1_P002,SYNTHETIC_PHASE6B1_P002__trial_03,3,3,EDR-2,EDR-2,in_the_meantime,group_02_song_a_in_the_meantime,True,,True,,True,49,"[""E""]",E,True,1,45,46,47,48,49,5,4,3,2,1
SYNTHETIC_PHASE6B1_P002,SYNTHETIC_PHASE6B1_P002__trial_04,4,4,EDR-2,EDR-2,pouring_room,group_02_song_b_pouring_room,True,,True,,True,52,"[""E""]",E,True,1,48,49,50,51,52,5,4,3,2,1
SYNTHETIC_PHASE6B1_P002,SYNTHETIC_PHASE6B1_P002__trial_05,5,5,FM-1,FM-1,in_the_meantime,group_02_song_a_in_the_meantime,True,,True,,True,55,"[""E""]",E,True,1,51,52,53,54,55,5,4,3,2,1
SYNTHETIC_PHASE6B1_P002,SYNTHETIC_PHASE6B1_P002__trial_06,6,6,FM-1,FM-1,pouring_room,group_02_song_b_pouring_room,False,missing_candidate|invalid_mapping,False,missing_candidate|invalid_mapping,True,,,,,,54,55,56,57,,,,,,
