trial_id,presentation_label,phase3_stimulus_id,phase6b_stimulus_id,phase3_mix_id,phase6b_mix_id,phase3_observed_rating,phase6b_human_rating,stimulus_match,mix_match,rating_match,aligned
P001__trial_01,A,lead_me_pxl_l1,lead_me_pxl_l1,mix_d5b28dfc8a93,mix_d5b28dfc8a93,19.0,19,True,True,True,True
P001__trial_01,B,lead_me_du_d,lead_me_du_d,mix_f1f7973e5bac,mix_f1f7973e5bac,30.0,30,True,True,True,True
P001__trial_01,C,lead_me_mcg_pro2,lead_me_mcg_pro2,mix_d3e3580b6e30,mix_d3e3580b6e30,36.0,36,True,True,True,True
P001__trial_01,D,lead_me_du_e,lead_me_du_e,mix_271852ba8676,mix_271852ba8676,42.0,42,True,True,True,True
P001__trial_01,E,lead_me_pxl_l4,lead_me_pxl_l4,mix_c7d9a071ba25,mix_c7d9a071ba25,53.0,53,True,True,True,True
P001__trial_02,A,id_like_to_know_pxl_s5,id_like_to_know_pxl_s5,mix_82d60d7c7fc5,mix_82d60d7c7fc5,29.0,29,True,True,True,True
P001__trial_02,B,id_like_to_know_pxl_s7,id_like_to_know_pxl_s7,mix_b393d3919c78,mix_b393d3919c78,66.0,66,True,True,True,True
P001__trial_02,C,id_like_to_know_pxl_s2,id_like_to_know_pxl_s2,mix_6f8b655d7999,mix_6f8b655d7999,46.0,46,True,True,True,True
P001__trial_02,D,id_like_to_know_pxl_s3,id_like_to_know_pxl_s3,mix_65f41f41d3ab,mix_65f41f41d3ab,50.0,50,True,True,True,True
P001__trial_02,E,id_like_to_know_pxl_s1,id_like_to_know_pxl_s1,mix_9ffcd672af17,mix_9ffcd672af17,80.0,80,True,True,True,True
P001__trial_03,A,id_like_to_know_pxl_s3,id_like_to_know_pxl_s3,mix_65f41f41d3ab,mix_65f41f41d3ab,22.0,22,True,True,True,True
P001__trial_03,B,id_like_to_know_pxl_s2,id_like_to_know_pxl_s2,mix_6f8b655d7999,mix_6f8b655d7999,82.0,82,True,True,True,True
P001__trial_03,C,id_like_to_know_pxl_s1,id_like_to_know_pxl_s1,mix_9ffcd672af17,mix_9ffcd672af17,52.0,52,True,True,True,True
P001__trial_03,D,id_like_to_know_pxl_s7,id_like_to_know_pxl_s7,mix_b393d3919c78,mix_b393d3919c78,75.0,75,True,True,True,True
P001__trial_03,E,id_like_to_know_pxl_s5,id_like_to_know_pxl_s5,mix_82d60d7c7fc5,mix_82d60d7c7fc5,59.0,59,True,True,True,True
P001__trial_04,A,lead_me_du_e,lead_me_du_e,mix_271852ba8676,mix_271852ba8676,17.0,17,True,True,True,True
P001__trial_04,B,lead_me_pxl_l1,lead_me_pxl_l1,mix_d5b28dfc8a93,mix_d5b28dfc8a93,34.0,34,True,True,True,True
P001__trial_04,C,lead_me_mcg_pro2,lead_me_mcg_pro2,mix_d3e3580b6e30,mix_d3e3580b6e30,51.0,51,True,True,True,True
P001__trial_04,D,lead_me_du_d,lead_me_du_d,mix_f1f7973e5bac,mix_f1f7973e5bac,25.0,25,True,True,True,True
P001__trial_04,E,lead_me_pxl_l4,lead_me_pxl_l4,mix_c7d9a071ba25,mix_c7d9a071ba25,77.0,77,True,True,True,True
P001__trial_05,A,lead_me_pxl_l4,lead_me_pxl_l4,mix_c7d9a071ba25,mix_c7d9a071ba25,39.0,39,True,True,True,True
P001__trial_05,B,lead_me_mcg_pro2,lead_me_mcg_pro2,mix_d3e3580b6e30,mix_d3e3580b6e30,24.0,24,True,True,True,True
P001__trial_05,C,lead_me_du_d,lead_me_du_d,mix_f1f7973e5bac,mix_f1f7973e5bac,72.0,72,True,True,True,True
P001__trial_05,D,lead_me_pxl_l1,lead_me_pxl_l1,mix_d5b28dfc8a93,mix_d5b28dfc8a93,29.0,29,True,True,True,True
P001__trial_05,E,lead_me_du_e,lead_me_du_e,mix_271852ba8676,mix_271852ba8676,50.0,50,True,True,True,True
P001__trial_06,A,id_like_to_know_pxl_s5,id_like_to_know_pxl_s5,mix_82d60d7c7fc5,mix_82d60d7c7fc5,22.0,22,True,True,True,True
P001__trial_06,B,id_like_to_know_pxl_s2,id_like_to_know_pxl_s2,mix_6f8b655d7999,mix_6f8b655d7999,50.0,50,True,True,True,True
P001__trial_06,C,id_like_to_know_pxl_s3,id_like_to_know_pxl_s3,mix_65f41f41d3ab,mix_65f41f41d3ab,39.0,39,True,True,True,True
P001__trial_06,D,id_like_to_know_pxl_s1,id_like_to_know_pxl_s1,mix_9ffcd672af17,mix_9ffcd672af17,75.0,75,True,True,True,True
P001__trial_06,E,id_like_to_know_pxl_s7,id_like_to_know_pxl_s7,mix_b393d3919c78,mix_b393d3919c78,67.0,67,True,True,True,True
P002__trial_01,A,id_like_to_know_pxl_s3,id_like_to_know_pxl_s3,mix_65f41f41d3ab,mix_65f41f41d3ab,27.0,27,True,True,True,True
P002__trial_01,B,id_like_to_know_pxl_s1,id_like_to_know_pxl_s1,mix_9ffcd672af17,mix_9ffcd672af17,75.0,75,True,True,True,True
P002__trial_01,C,id_like_to_know_pxl_s2,id_like_to_know_pxl_s2,mix_6f8b655d7999,mix_6f8b655d7999,58.0,58,True,True,True,True
P002__trial_01,D,id_like_to_know_pxl_s7,id_like_to_know_pxl_s7,mix_b393d3919c78,mix_b393d3919c78,53.0,53,True,True,True,True
P002__trial_01,E,id_like_to_know_pxl_s5,id_like_to_know_pxl_s5,mix_82d60d7c7fc5,mix_82d60d7c7fc5,38.0,38,True,True,True,True
P002__trial_02,A,lead_me_du_d,lead_me_du_d,mix_f1f7973e5bac,mix_f1f7973e5bac,61.0,61,True,True,True,True
P002__trial_02,B,lead_me_mcg_pro2,lead_me_mcg_pro2,mix_d3e3580b6e30,mix_d3e3580b6e30,82.0,82,True,True,True,True
P002__trial_02,C,lead_me_du_e,lead_me_du_e,mix_271852ba8676,mix_271852ba8676,50.0,50,True,True,True,True
P002__trial_02,D,lead_me_pxl_l4,lead_me_pxl_l4,mix_c7d9a071ba25,mix_c7d9a071ba25,8.0,8,True,True,True,True
P002__trial_02,E,lead_me_pxl_l1,lead_me_pxl_l1,mix_d5b28dfc8a93,mix_d5b28dfc8a93,25.0,25,True,True,True,True
P002__trial_03,A,id_like_to_know_pxl_s7,id_like_to_know_pxl_s7,mix_b393d3919c78,mix_b393d3919c78,76.0,76,True,True,True,True
P002__trial_03,B,id_like_to_know_pxl_s5,id_like_to_know_pxl_s5,mix_82d60d7c7fc5,mix_82d60d7c7fc5,41.0,41,True,True,True,True
P002__trial_03,C,id_like_to_know_pxl_s1,id_like_to_know_pxl_s1,mix_9ffcd672af17,mix_9ffcd672af17,63.0,63,True,True,True,True
P002__trial_03,D,id_like_to_know_pxl_s3,id_like_to_know_pxl_s3,mix_65f41f41d3ab,mix_65f41f41d3ab,12.0,12,True,True,True,True
P002__trial_03,E,id_like_to_know_pxl_s2,id_like_to_know_pxl_s2,mix_6f8b655d7999,mix_6f8b655d7999,36.0,36,True,True,True,True
P002__trial_04,A,lead_me_du_e,lead_me_du_e,mix_271852ba8676,mix_271852ba8676,59.0,59,True,True,True,True
P002__trial_04,B,lead_me_mcg_pro2,lead_me_mcg_pro2,mix_d3e3580b6e30,mix_d3e3580b6e30,49.0,49,True,True,True,True
P002__trial_04,C,lead_me_du_d,lead_me_du_d,mix_f1f7973e5bac,mix_f1f7973e5bac,77.0,77,True,True,True,True
P002__trial_04,D,lead_me_pxl_l4,lead_me_pxl_l4,mix_c7d9a071ba25,mix_c7d9a071ba25,15.0,15,True,True,True,True
P002__trial_04,E,lead_me_pxl_l1,lead_me_pxl_l1,mix_d5b28dfc8a93,mix_d5b28dfc8a93,7.0,7,True,True,True,True
P002__trial_05,A,lead_me_du_e,lead_me_du_e,mix_271852ba8676,mix_271852ba8676,31.0,31,True,True,True,True
P002__trial_05,B,lead_me_du_d,lead_me_du_d,mix_f1f7973e5bac,mix_f1f7973e5bac,50.0,50,True,True,True,True
P002__trial_05,C,lead_me_mcg_pro2,lead_me_mcg_pro2,mix_d3e3580b6e30,mix_d3e3580b6e30,76.0,76,True,True,True,True
P002__trial_05,D,lead_me_pxl_l1,lead_me_pxl_l1,mix_d5b28dfc8a93,mix_d5b28dfc8a93,12.0,12,True,True,True,True
P002__trial_05,E,lead_me_pxl_l4,lead_me_pxl_l4,mix_c7d9a071ba25,mix_c7d9a071ba25,6.0,6,True,True,True,True
P002__trial_06,A,id_like_to_know_pxl_s7,id_like_to_know_pxl_s7,mix_b393d3919c78,mix_b393d3919c78,10.0,10,True,True,True,True
P002__trial_06,B,id_like_to_know_pxl_s1,id_like_to_know_pxl_s1,mix_9ffcd672af17,mix_9ffcd672af17,26.0,26,True,True,True,True
P002__trial_06,C,id_like_to_know_pxl_s3,id_like_to_know_pxl_s3,mix_65f41f41d3ab,mix_65f41f41d3ab,74.0,74,True,True,True,True
P002__trial_06,D,id_like_to_know_pxl_s5,id_like_to_know_pxl_s5,mix_82d60d7c7fc5,mix_82d60d7c7fc5,51.0,51,True,True,True,True
P002__trial_06,E,id_like_to_know_pxl_s2,id_like_to_know_pxl_s2,mix_6f8b655d7999,mix_6f8b655d7999,57.0,57,True,True,True,True
P003__trial_01,A,lead_me_du_e,lead_me_du_e,mix_271852ba8676,mix_271852ba8676,15.0,15,True,True,True,True
P003__trial_01,B,lead_me_du_d,lead_me_du_d,mix_f1f7973e5bac,mix_f1f7973e5bac,68.0,68,True,True,True,True
P003__trial_01,C,lead_me_pxl_l1,lead_me_pxl_l1,mix_d5b28dfc8a93,mix_d5b28dfc8a93,26.0,26,True,True,True,True
P003__trial_01,D,lead_me_pxl_l4,lead_me_pxl_l4,mix_c7d9a071ba25,mix_c7d9a071ba25,47.0,47,True,True,True,True
P003__trial_01,E,lead_me_mcg_pro2,lead_me_mcg_pro2,mix_d3e3580b6e30,mix_d3e3580b6e30,86.0,86,True,True,True,True
P003__trial_02,A,id_like_to_know_pxl_s2,id_like_to_know_pxl_s2,mix_6f8b655d7999,mix_6f8b655d7999,51.0,51,True,True,True,True
P003__trial_02,B,id_like_to_know_pxl_s1,id_like_to_know_pxl_s1,mix_9ffcd672af17,mix_9ffcd672af17,33.0,33,True,True,True,True
P003__trial_02,C,id_like_to_know_pxl_s7,id_like_to_know_pxl_s7,mix_b393d3919c78,mix_b393d3919c78,86.0,86,True,True,True,True
P003__trial_02,D,id_like_to_know_pxl_s5,id_like_to_know_pxl_s5,mix_82d60d7c7fc5,mix_82d60d7c7fc5,68.0,68,True,True,True,True
P003__trial_02,E,id_like_to_know_pxl_s3,id_like_to_know_pxl_s3,mix_65f41f41d3ab,mix_65f41f41d3ab,11.0,11,True,True,True,True
P003__trial_03,A,lead_me_pxl_l1,lead_me_pxl_l1,mix_d5b28dfc8a93,mix_d5b28dfc8a93,12.0,12,True,True,True,True
P003__trial_03,B,lead_me_mcg_pro2,lead_me_mcg_pro2,mix_d3e3580b6e30,mix_d3e3580b6e30,31.0,31,True,True,True,True
P003__trial_03,C,lead_me_pxl_l4,lead_me_pxl_l4,mix_c7d9a071ba25,mix_c7d9a071ba25,25.0,25,True,True,True,True
P003__trial_03,D,lead_me_du_e,lead_me_du_e,mix_271852ba8676,mix_271852ba8676,86.0,86,True,True,True,True
